ID,Title,DOI,Type,Availability,PublishedDate,Authors,Abstract,Link
DOI:10.7326/M20-1998,Should Clinicians Use Chloroquine or Hydroxychloroquine Alone or in Combination With Azithromycin for the Prophylaxis or Treatment of COVID-19?: Living Practice Points From the American College of Physicians (Version 1),10.7326/M20-1998,Special Article,FREE,13 May 2020,"Amir Qaseem, MD, PhD, MHA, Jennifer Yost, RN, PhD, Itziar Etxeandia-Ikobaltzeta, PharmD, PhD, Matthew C. Miller, MD, George M. Abraham, MD, MPH, Adam Jacob Obley, MD, Mary Ann Forciea, MD, Janet A. Jokela, MD, MPH, Linda L. Humphrey, MD, MPH","Should Clinicians Use Chloroquine or Hydroxychloroquine Alone or in Combination With Azithromycin for Prophylaxis Against COVID-19? Should Clinicians Use Chloroquine or Hydroxychloroquine Alone or in Combination With Azithromycin for Treatment of COVID-19? Using chloroquine or hydroxychloroquine, with or without azithromycin, to prevent coronavirus disease (COVID-19) after infection with novel coronavirus (SARS-CoV-2) or to treat COVID-19 began to receive attention following preliminary reports from in vitro (1) and human (2) studies. While multiple studies are planned or under way (3, 4), it is imperative to continually synthesize the results from the best available evidence to inform point-of-care decisions about the use of chloroquine or hydroxychloroquine. These practice points are based on a rapid and living systematic evidence review conducted by the University of Connecticut Health Outcomes, Policy, and Evidence Synthesis Group and will be updated as new evidence becomes available. The practice points development and update methods are                 included in the Appendix. This version of the practice points, based on an evidence review conducted on 17 April 2020, was approved by the American College of Physicians Board of Regents on 4 May 2020 and submitted to Annals of Internal Medicine on 6 May 2020. Do not use chloroquine or hydroxychloroquine alone or in combination with azithromycin as prophylaxis against COVID-19 due to known harms and no available evidence of benefits in the general population. Do not use chloroquine or hydroxychloroquine alone or in combination with azithromycin as a treatment of patients with COVID-19 due to known harms and no available evidence of benefits in patients with COVID-19.",/doi/10.7326/M20-1998
DOI:10.7326/M20-2306,"Ventilation Techniques and Risk for Transmission of Coronavirus Disease, Including COVID-19: A Living Systematic Review of Multiple Streams of Evidence",10.7326/M20-2306,Reviews,FREE,22 May 2020,"Holger J. Schünemann, MD, PhD, MSc, Joanne Khabsa, MPH, Karla Solo, MSc, Assem M. Khamis, MD, Romina Brignardello-Petersen, DDM, Amena El-Harakeh, MPH, Andrea Darzi, MD, MPH, Anisa Hajizadeh, MPH, Antonio Bognanni, MD, Anna Bak, PharmD, Ariel Izcovich, MD, Carlos A. Cuello-Garcia, MD, PhD, Chen Chen, MM, Ewa Borowiack, MSc, Fatimah Chamseddine, MD, Finn Schünemann, MD, Gian Paolo Morgano, MSc, Giovanna E.U. Muti-Schünemann, Cand. Med, Guang Chen, MD, PhD, Hong Zhao, PhD, Ignacio Neumann, MD, PhD, Jan Brozek, MD, Joel Schmidt, MD, Layal Hneiny, MPH, MLIS, Leila Harrison, MPH, Marge Reinap, MA, Mats Junek, MD, Nancy Santesso, PhD, MLIS, Rayane El-Khoury, MPH, Rebecca Thomas, MPH, MBChB, Robby Nieuwlaat, PhD, Rosa Stalteri, BSHc, Sally Yaacoub, MPH, Tamara Lotfi, MD, MPH, Tejan Baldeh, MPH, Thomas Piggott, MD, MSc, Yuan Zhang, PhD, MSc, Zahra Saad, MSc, Bram Rochwerg, MD, MSc, Dan Perri, MD, Eddy Fan, MD, Florian Stehling, MD, Imad Bou Akl, MD, Mark Loeb, MD, MSc, Paul Garner, MD, Stephen Aston, MD, Waleed Alhazzani, MD, MSc, Wojciech Szczeklik, MD, Derek K. Chu, MD, PhD, Elie A. Akl, MD, MPH, PhD","As of 18 May 2020, the ongoing pandemic caused by severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2) has affected more than 4.8 million individuals worldwide and caused over 300 000 deaths (1). SARS-CoV-2 spreads from person to person through close contact and causes coronavirus disease 2019 (COVID-19); most deaths are caused by development of hypoxemic respiratory failure and severe acute respiratory distress syndrome (ARDS). Noninvasive ventilation (NIV), invasive mechanical ventilation (IMV), and supportive therapies are the mainstays of treatment of ARDS. Noninvasive ventilation is associated with fewer adverse outcomes for patients than is IMV. However, NIV creates risks for the health care workers (HCWs) caring for these patients, because of SARS-CoV-2 transmission via aerosols (2). The magnitude of this risk is not well explored in COVID-19. In contrast, IMV typically uses a closed system and thus carries a much lower risk for transmission via aerosols. Countries with large number of patients with COVID-19 requiring mechanical ventilation have experienced shortage of ventilators and have relied on NIV, which includes continuous positive airway pressure (CPAP), bilevel positive airway pressure (BiPAP), and high-flow oxygen by nasal cannula (HFNC). Guidelines vary considerably in their recommendations on the role and optimal method of NIV, reflecting                     differences in assumed effectiveness balanced with the risk for infection to HCWs from aerosols. Hypoxemic respiratory failure and ARDS are common in COVID-19, but the ideal way of providing ventilation and the effect of NIV on HCWs is uncertain. Although they are different from other causes of ARDS, severe acute respiratory syndrome (caused by SARS-CoV-1) or Middle East respiratory syndrome (caused by MERS-CoV) may resemble ARDS in COVID-19 (3, 4). Thus, evidence from SARS and MERS may be useful to explore the effects of NIV. Commissioned by the World Health Organization (WHO) to inform their guidance documents, we urgently but systematically reviewed evidence to assess the benefits and harms of alternate noninvasive and invasive ventilation strategies in acute hypoxemic respiratory failure in patients with COVID-19. This included searching for indirect evidence (for example, that related to SARS and MERS) and for evidence on the effect of virus transmission on HCWs. By agreement with WHO on 3 April 2020, we performed an urgent systematic review to compare the effect of different ventilation techniques on important patient outcomes and the risk for transmission for coronavirus disease, including COVID-19. We adhered to Cochrane systematic review methods, rated the certainty of evidence by following the GRADE (Grading of Recommendations Assessment, Development and Evaluation) approach, prospectively registered the review on PROSPERO (registration number CRD42020178187) (Supplement 1), and followed PRISMA (Preferred Reporting Items for Systematic reviews and Meta-Analyses) reporting guidelines (5–9). We assembled a large international collaborative team of researchers, frontline and specialist clinicians, epidemiologists, patients, public health experts, and health policy experts with expertise in                     systematic reviews. The review addresses the following 4 streams of evidence: 1) studies of any design that addressed NIV for individuals with acute hypoxic respiratory failure caused by coronavirus (COVID-19, MERS, SARS); 2) systematic reviews of randomized trials that assessed the efficacy of NIV approaches in patients with hypoxemic respiratory failure not due to coronavirus infection; 3) animal, mechanistic, laboratory, and preclinical evidence regarding aerosol dispersion of coronavirus; and 4) studies in adults evaluating risk for virus transmission to HCWs from aerosol-generating procedures (AGPs). When possible, results focus on information most relevant to SARS-CoV-2 and COVID-19. Information related to the first stream of evidence will be continually updated and maintained as a living systematic review for at least 1 year.",/doi/10.7326/M20-2306
DOI:10.7326/M20-2567,"Cloth Masks May Prevent Transmission of COVID-19: An Evidence-Based, Risk-Based Approach",10.7326/M20-2567,Ideas and Opinions,FREE,22 May 2020,"Catherine M. Clase, MB BChir, MSc, Edouard L. Fu, BSc, Meera Joseph, MD, Rupert C.L. Beale, MB, PhD, Myrna B. Dolovich, BEng, PEng, Meg Jardine, MBBS, PhD, Johannes F.E. Mann, MD, PhD, Roberto Pecoits-Filho, MD, PhD, Wolfgang C. Winkelmayer, MD, ScD, Juan J. Carrero, Pharm, PhD","Physical distancing, hand hygiene, and disinfection of surfaces are the cornerstones of infection control during the coronavirus disease 2019 (COVID-19) pandemic. At the same time, governments, international agencies, policymakers, and public health officials have been debating the validity of recommending use of nonmedical masks by the general public to reduce the transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). We believe that these decisions should be informed by evidence. Although no direct evidence indicates that cloth masks are effective in reducing transmission of SARS-CoV-2, the evidence that they reduce contamination of air and surfaces is convincing and should suffice to inform policy decisions on their use in this pandemic pending further research. Cloth does not stop isolated virions. However, most virus transmission occurs via larger particles in secretions, whether aerosol (<5 µm) or droplets (>5 µm), which are generated directly by speaking, eating, coughing, and sneezing; aerosols are also created when water evaporates from smaller droplets, which become aerosol-sized droplet nuclei. The point is not that some particles can penetrate but that some particles are stopped, particularly in the outward direction. Every virus-laden particle retained in a mask is not available to hang in the air as an aerosol or fall to a surface to be later picked up by touch. Filtration efficiency is the ability of a material to block transmission; it is expressed as a percentage (Figure) and assessed using surrogate markers, including biological aerosols. Mask standards set by ASTM International require tests with latex spheres and aerosolized Staphylococcus aureus (1), but masks are not assessed separately for every pathogen: Filtration efficiency depends on the physical retention of particles of different sizes, regardless of which pathogen the particle contains. For consistency, we calculated FE from data provided in the original work rather than presenting the data in the units chosen by the authors. PF and fit factor are synonyms. FE = filtration efficiency; PF = protection factor; TIL = total inward leakage. Cloth can block droplets and aerosols, and layers add efficiency. Filtration efficiency for single layers of different types of cotton cloth in a bioaerosol (0.2 µm) experiment was between 43% and 94%, compared with 98% to 99% for fabric from disposable medical masks (2). In a summary of similar observations, single layers of scarfs, sweatshirts, T-shirts, and towels were associated with filtration efficiency of 10% to 40% in experiments using NaCl aerosol (0.075 µm) (3). For tea towel fabric, studied with aerosol-sized particles, filtration efficiency in experiments using a bacterial marker was 83% with 1 layer and 97% with 2 layers, compared with 96% for a medical mask (4). In experiments using virus, 1 layer of tea towel had 72% efficiency and 1 layer of T-shirt fabric 51%, compared with 90% for a medical mask (4). A 2020 study confirms that                     some fabrics block clinically useful percentages of transmission, even for aerosols and even in single layers; multiple layers improve efficiency (5).",/doi/10.7326/M20-2567
DOI:10.7326/M20-2347,Seven O'Clock,10.7326/M20-2347,On Being a Doctor,FREE,19 May 2020,"Kunal K. Sindhu, MD","Every night, at 7:00, it begins. It starts slowly, heralding its arrival with the sound of a single clap or cheer. On streets devoid of their typical pedestrian and vehicular traffic, the noise carries far, attracting the attention of millions of New Yorkers sheltering in place. Enticed by its allure, others soon join in. As the volume rises, the constant daytime blaring of ambulance sirens is temporarily forgotten. Everyone has a different role to play: while some bang pots and pans outside of their windows, others play music from their balconies. Drivers honk their car horns. Everybody is cheering. The melodies harmonize, and what began as a scattered cacophony soon becomes an orchestra. The skies fill with encouragement as tenants from townhouses and residential towers alike join in. The energy is electric. For a few minutes, the gloom that has overtaken the city is cast aside. Yet, the peak soon passes and is succeeded by a disheartening decrescendo. Cookware disappears, songs end, and cars scatter. Cheers die down, replaced by the eerie silence of a city laid low by a black swan. Neighbors retreat to the safety of their apartments. New York returns to its surreal status quo.",/doi/10.7326/M20-2347
DOI:10.7326/M20-2383,Required COVID Mandatories,10.7326/M20-2383,Ad Libitum,FREE,19 May 2020,"Alexander Glaros, MD",This article was published at Annals.org on 19 May 2020.,/doi/10.7326/M20-2383
DOI:10.7326/M20-2883,View From the COVID Palliative Care Unit,10.7326/M20-2883,Ad Libitum,FREE,19 May 2020,"Alexis Drutchas, MD",This article was published at Annals.org on 19 May 2020.,/doi/10.7326/M20-2883
DOI:10.7326/A19-0030,Annals On Call - Surge Modeling for COVID-19,10.7326/A19-0030,Web Exclusives,FREE,30 April 2020,"Robert M. Centor, MD, John B. Wong, MD"," In this episode of Annals On Call, Dr. Centor discusses COVID-19 pandemic surge models with Dr. John Wong from Tufts University. Annals articles discussed include... Pandemic Surge Models in the Time of Severe Acute Respiratory Syndrome Coronavirus-2: Wrong or Useful?: https://annals.org/aim/fullarticle/2764846/pandemic-surge-models-time-severe-acute-respiratory-syndrome-coronavirus-2 Estimating the Maximum Capacity of COVID-19 Cases Manageable per Day Given a Health Care System's Constrained Resources: https://annals.org/aim/fullarticle/2764818/estimating-maximum-capacity-covid-19-cases-manageable-per-day-given",/doi/10.7326/A19-0030
DOI:10.7326/M20-1897,Annals for Hospitalists Inpatient Notes - Preparing for Battle: How Hospitalists Can Manage the Stress of COVID-19,10.7326/M20-1897,Web Exclusives,FREE,21 April 2020,"Joshua C. Morganstein, MD","We are at war. An invisible enemy has broken through the ranks of our global society and is waging an aggressive campaign. Hospitalists are on the front lines defending our health and safety. As with other pandemics, coronavirus disease 2019 presents challenges for the well-being of citizens around the globe, resulting from fear of illness, social distancing measures, isolation and quarantines, and protracted uncertainty (1). Hospitalists and other health care workers face additional unique challenges. A transition to crisis standards of care requiring allocation of scarce resources, proximity to infected patients, concerns about bringing the infection home to family members, societal stigma, and changing procedures are creating an unprecedented strain. China, the outbreak epicenter, has already seen adverse mental health effects on health care professionals, with high rates of depression, anxiety, insomnia, and general distress reported                         (2). Ensuring the well-being of hospitalists at the leading edge of our health care response requires action by organizational leaders, and health care personnel alike, to preserve our most important assets in this global battle. Interventions to enhance the well-being and functioning of hospitalists and other health care workers during extreme times of stress should use the principles of psychological first aid, an evidence-based framework that enhances a sense of safety, calming, hope, self- and organizational efficacy, and social connectedness (3). During crises, leadership decisions and behaviors have a profound effect on the functioning and psychological well-being of personnel (4). Throughout health care practices, there are leaders of clinical and administrative teams and services as well as higher levels of facilities and organizations. All of these leaders have the potential to make critical contributions to the well-being of personnel during this crisis and the subsequent recovery. Leaders should prioritize the wellness and sustainment of health care professionals through prevention efforts to reduce psychological morbidity during outbreaks using psychological first aid principles (5). The following are steps that leaders can take to support their workforce and sustain patient care: Be present. This provides reassurance and a “1 team, 1 fight” approach. Take time to connect and communicate with your personnel. Communicate effectively. Information treats anxiety in a crisis. Share what you know and what you don't know. Commit to finding answers and then share them with the team. Ensure training and equipment. Obtain needed equipment and ensure training in its use. Address anticipated exposures. Speak up and take action when personnel safety is at risk.",/doi/10.7326/M20-1897
DOI:10.7326/L20-0419,Tocilizumab for Hemophagocytic Syndrome in a Kidney Transplant Recipient With COVID-19,10.7326/L20-0419,Letters,FREE,18 May 2020,"Stanislas Faguer, MD, PhD, Arnaud Del Bello, MD, Florence Abravanel, PharmD, PhD, Marie-Laure Nicolau-Travers, PhD, Nassim Kamar, MD, PhD","Background: A subset of patients with coronavirus disease 2019 (COVID-19) will develop acute respiratory distress syndrome and require mechanical ventilation. Studies suggest that many patients with COVID-19 and acute respiratory distress syndrome experience a cytokine storm characterized by fever; hyperferritinemia; and a massive release of inflammatory cytokines, including interleukin-6, tumor necrosis factor-α, and monocyte chemoattractant proteins (1). These findings led to the hypothesis that biological agents targeting specific cytokine or inflammatory pathways may improve the respiratory outcomes of patients with the most severe forms of COVID-19 (2). Objective: To describe a patient with COVID-19 and overt hemophagocytic syndrome whose response to treatment was consistent with this hypothesis. Case Report: A 51-year-old man who had received a kidney transplant was referred to our intensive care unit for cough, fever, and shortness of breath leading to the presumptive diagnosis of COVID-19. On day 1, acute respiratory failure required mechanical ventilation and prone positioning. Therapy with dexamethasone (5 mg twice daily), ceftriaxone (2 g/d), and spiramycin (1.5 million units 3 times daily) was initiated. Tacrolimus and mycophenolate mofetil were withdrawn. On day 2, the patient developed refractory multiorgan failure characterized by an inflammatory state, heart failure, stage 3 acute-on-chronic kidney injury, acute liver failure, nonregenerative anemia, thrombocytopenia, and lactic acidosis. The C-reactive protein level was 262 mg/L, and the ferritin level was 52 005 μg/L. We considered a diagnosis of hemophagocytic syndrome because the patient had underlying immunosuppression; fever of 39 °C; a serum ferritin level above                     6000 μg/L; a hemoglobin level below 92 g/L; a platelet count below 110 × 109 cells/L; high levels of serum triglycerides; and aspartate aminotransferase with an HScore of 253, which indicated that the probability of having hemophagocytic syndrome was 99.5% (3). Bone marrow aspiration and liver biopsy confirmed the presence of hemophagocytosis (Figure). Polymerase chain reaction identified severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in bronchoalveolar fluid (cycle threshold 21) and blood.  COVID-19 = coronavirus disease 2019. A. Hemophagocytosis of polymorphonuclear neutrophils (yellow arrow), erythrocytes (green arrow), and platelets (red arrow) by activated macrophages in the bone marrow aspirate. May–Grünwald–Giemsa staining, original magnification × 1000. B. Kupffer cell hypertrophy and hyperplasia with hemophagocytosis of polymorphonuclear neutrophils (yellow arrow) and lymphocytes (red arrow) in the liver (hematoxylin–eosin staining). C. CD68 immunostaining of the liver biopsy (brown staining: activated macrophages with hemophagocytosis of erythrocytes [green arrow]).",/doi/10.7326/L20-0419
DOI:10.7326/M20-1515,Risks and Impact of Angiotensin-Converting Enzyme Inhibitors or Angiotensin-Receptor Blockers on SARS-CoV-2 Infection in Adults: A Living Systematic Review,10.7326/M20-1515,Reviews,FREE,15 May 2020,"Katherine Mackey, MD, MPP, Valerie J. King, MD, MPH, Susan Gurley, MD, PhD, Michael Kiefer, MD, Erik Liederbauer, MD, Kathryn Vela, MLIS, AHIP, Payten Sonnen, BS, Devan Kansagara, MD, MCR","Concerns exist that angiotensin-converting enzyme inhibitors (ACEIs) and angiotensin-receptor blockers (ARBs) increase susceptibility to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2, the viral agent that causes the disease COVID-19) and the likelihood of severe COVID-19 illness (1). Early reports from Wuhan, China, showed that hypertension and diabetes were common among patients with COVID-19 and were associated with worse outcomes (2). Although these early studies did not specify whether patients were using ACEIs or ARBs before becoming infected, these medications are widely used to treat hypertension and diabetes (3, 4). The proposed mechanism by which ACEIs and ARBs may play a role in COVID-19 is through upregulation of angiotensin-converting enzyme 2 (ACE2), which is presumed to act as a functional receptor for SARS-CoV-2 to gain entry to host cells (5) (Figure 1). Angiotensin-converting enzyme 2 exists primarily as a membrane-bound monocarboxypeptidase with robust expression in such tissues as lung, vasculature, intestine, and kidney (5). A soluble or circulating form of ACE2 (sACE2) has cardiovascular effects in the renin–angiotensin system (6–8). Related to viral pathogenesis, sACE2 was shown to block SARS viral entry into cells (9) and is now being considered as a potential therapy (10).  As part of the RAS, ACE2 (green) regulates the levels of angiotensin II. As the functional receptor for SARS-CoV-2, ACE2 may facilitate viral entry into cells. This figure illustrates the role of ACE2 in the RAS and how pharmacologic RAS blockade with ACEIs or ARBs (red) could theoretically increase the amount of ACE2 available for viral binding. ACE2 = angiotensin-converting enzyme 2; ACEI = angiotensin-converting enzyme inhibitor; ARB = angiotensin-receptor blocker; AT1 = type 1 angiotensin receptor; RAS = renin–angiotensin system; SARS-CoV-2 = severe acute respiratory syndrome coronavirus 2. Angiotensin-converting enzyme 2 is distinct and not directly related to the clinical use of ACEIs or ARBs, or to their mechanisms of action. Angiotensin-converting enzyme inhibitors target angiotensin-converting enzyme 1 (ACE) to inhibit conversion of angiotensin I to angiotensin II, thereby reducing levels of angiotensin II available to bind and activate the type 1 angiotensin receptor (AT1), which mediates most of the vasopressor effects of angiotensin II (11). Angiotensin-receptor blockers work by binding to AT1 receptors and directly blocking the actions of angiotensin II. In contrast to ACE, which acts to generate angiotensin II, ACE2 degrades angiotensin II into angiotensin (1-7) and is thus a negative regulator of the renin–angiotensin system (Figure 1) (12).",/doi/10.7326/M20-1515
