ID,PublishedDate,Title,Abstract,Type,Creator,Authors,Link,DOI,Availability,PII
DOI:10.1016/j.therap.2020.05.009,2020-05-20,Renin-angiotensin-aldosterone system and COVID-19 infection,N/A (Too many requests),Therapies,Joachim Alexandre,"{'author': [{'$': 'Joachim Alexandre'}, {'$': 'Jean-Luc Cracowski'}, {'$': 'Vincent Richard'}, {'$': 'Béatrice Bouhanick'}, {'$': 'on behalf of the “Drugs and COVID-19” working group of the French Society of Pharmacology and Therapeutics (SFPT)'}]}",https://api.elsevier.com/content/article/pii/S0040595720300998,10.1016/j.therap.2020.05.009,Private,S0040595720300998
DOI:10.1016/j.kint.2020.05.006,2020-05-16,Acute kidney injury in patients hospitalized with COVID-19,N/A (Too many requests),Kidney International,Jamie S. Hirsch,"{'author': [{'$': 'Jamie S. Hirsch'}, {'$': 'Jia H. Ng'}, {'$': 'Daniel W. Ross'}, {'$': 'Purva Sharma'}, {'$': 'Northwell Nephrology COVID-19 Research Consortium'}]}",https://api.elsevier.com/content/article/pii/S0085253820305329,10.1016/j.kint.2020.05.006,Private,S0085253820305329
DOI:10.1016/j.enfcli.2020.05.016,2020-05-23,Cuidados enfermeros en el paciente adulto ingresado en unidades de hospitalización por COVID-19,N/A (Too many requests),Enfermería Clínica,Begoña de Andrés-Gimeno,"{'author': [{'$': 'Begoña de Andrés-Gimeno'}, {'$': 'Montserrat Solís-Muñoz'}, {'$': 'Manuel Revuelta-Zamorano'}, {'$': 'Héctor Sánchez-Herrero'}, {'$': 'Grupo de Cuidados COVID-19 HUPHM'}]}",https://api.elsevier.com/content/article/pii/S1130862120303132,10.1016/j.enfcli.2020.05.016,Private,S1130862120303132
DOI:10.1016/j.ando.2020.04.005,2020-04-21,Renin-angiotensin-aldosterone system and COVID-19 infection,N/A (Too many requests),Annales d'Endocrinologie,Joachim Alexandre,"{'author': [{'$': 'Joachim Alexandre'}, {'$': 'Jean-Luc Cracowski'}, {'$': 'Vincent Richard'}, {'$': 'Béatrice Bouhanick'}, {'$': ""'Drugs, COVID-19' working group of the French Society of Pharmacology, Therapeutics""}]}",https://api.elsevier.com/content/article/pii/S0003426620300627,10.1016/j.ando.2020.04.005,Private,S0003426620300627
DOI:10.1016/j.jamda.2020.04.017,2020-04-23,THE GERIATRICIAN: THE FRONTLINE SPECIALIST IN THE TREATMENT OF COVID-19 PATIENTS,N/A (Too many requests),Journal of the American Medical Directors Association,Gemelli Against COVID-19 Geriatrics Team,"{'author': [{'$': 'Gemelli Against COVID-19 Geriatrics Team'}, {'$': 'F. Landi'}, {'$': 'C. Barillaro'}, {'$': 'A. Bellieni'}, {'$': 'R. Bernabei'}]}",https://api.elsevier.com/content/article/pii/S1525861020303479,10.1016/j.jamda.2020.04.017,Private,S1525861020303479
DOI:10.1016/j.fertnstert.2020.04.025,2020-04-16,"Prior and Novel Coronaviruses, COVID-19, and Human Reproduction: What Is Known?",N/A (Too many requests),Fertility and Sterility,James Segars,"{'author': [{'$': 'James Segars'}, {'$': 'Quinton Katler'}, {'$': 'Dana B. McQueen'}, {'$': 'Alexander Kotlyar'}, {'$': 'ASRM Coronavirus/COVID-19 Task Force'}]}",https://api.elsevier.com/content/article/pii/S001502822030385X,10.1016/j.fertnstert.2020.04.025,Private,S001502822030385X
DOI:10.1016/j.jviscsurg.2020.04.018,2020-04-30,Endocrine surgery during and after the COVID-19 epidemic: Expert guidelines from AFCE,N/A (Too many requests),Journal of Visceral Surgery,G. Baud,"{'author': [{'$': 'G. Baud'}, {'$': 'L. Brunaud'}, {'$': 'J. -C. Lifante'}, {'$': 'C. Tresallet'}, {'$': 'AFCE COVID Study Group'}]}",https://api.elsevier.com/content/article/pii/S1878788620301247,10.1016/j.jviscsurg.2020.04.018,Private,S1878788620301247
DOI:10.1016/j.jtcvs.2020.04.059,2020-04-27,Adult Cardiac Surgery and the COVID-19 Pandemic: Aggressive Infection Mitigation Strategies are Necessary in the Operating Room and Surgical Recovery,N/A (Too many requests),The Journal of Thoracic and Cardiovascular Surgery,Daniel T. Engelman,"{'author': [{'$': 'Daniel T. Engelman'}, {'$': 'Sylvain Lother'}, {'$': 'Isaac George'}, {'$': 'Duane J. Funk'}, {'$': 'Society of Thoracic Surgery COVID-19 Taskforc'}]}",https://api.elsevier.com/content/article/pii/S0022522320310114,10.1016/j.jtcvs.2020.04.059,Private,S0022522320310114
DOI:10.1016/j.neurol.2020.04.004,2020-04-20,Guidance for the care of neuromuscular patients during the COVID-19 pandemic outbreak from the French Rare Health Care for Neuromuscular Diseases Network,N/A (Too many requests),Revue Neurologique,G. Solé,"{'author': [{'$': 'G. Solé'}, {'$': 'E. Salort-Campana'}, {'$': 'Y. Pereon'}, {'$': 'T. Stojkovic'}, {'$': 'FILNEMUS COVID-19 study group'}]}",https://api.elsevier.com/content/article/pii/S0035378720305233,10.1016/j.neurol.2020.04.004,Private,S0035378720305233
DOI:10.1016/j.ultrasmedbio.2020.04.026,2020-05-03,Lung Ultrasound in Children with COVID-19: Preliminary Findings,N/A (Too many requests),Ultrasound in Medicine & Biology,Anna Maria Musolino,"{'author': [{'$': 'Anna Maria Musolino'}, {'$': 'Maria Chiara Supino'}, {'$': 'Danilo Buonsenso'}, {'$': 'Valentina Ferro'}, {'$': 'Roman Lung Ultrasound Study Team for Pediatric COVID-19 (ROMULUS COVID Team)'}]}",https://api.elsevier.com/content/article/pii/S0301562920301988,10.1016/j.ultrasmedbio.2020.04.026,Private,S0301562920301988
DOI:10.1016/j.cgh.2020.05.030,2020-05-22,Plans to Reactivate Gastroenterology Practices Following the COVID-19 Pandemic: A Survey of North American Centers,N/A (Too many requests),Clinical Gastroenterology and Hepatology,Vladimir M. Kushnir,"{'author': [{'$': 'Vladimir M. Kushnir'}, {'$': 'Tyler M. Berzin'}, {'$': 'B. Joseph Elmunzer'}, {'$': 'Robin B. Mendelsohn'}, {'$': 'North American Alliance for the Study of Digestive Manefestations of COVID-19'}]}",https://api.elsevier.com/content/article/pii/S1542356520306893,10.1016/j.cgh.2020.05.030,Private,S1542356520306893
DOI:10.1016/j.jchirv.2020.04.015,2020-04-30,Chirurgie endocrinienne au cours et au décours de l’épidémie de COVID-19 : recommandations de l’AFCE,N/A (Too many requests),Journal de Chirurgie Viscérale,G. Baud,"{'author': [{'$': 'G. Baud'}, {'$': 'L. Brunaud'}, {'$': 'J. C. Lifante'}, {'$': 'C. Tresallet'}, {'$': ""Groupe d'étude AFCE COVID AFCE COVID Study Group""}]}",https://api.elsevier.com/content/article/pii/S1878786X20301030,10.1016/j.jchirv.2020.04.015,Private,S1878786X20301030
DOI:10.1016/j.jaci.2020.05.003,2020-05-11,Longitudinal hematologic and immunologic variations associated with the progression of COVID-19 patients in China,N/A (Too many requests),Journal of Allergy and Clinical Immunology,Ruchong Chen,"{'author': [{'$': 'Ruchong Chen'}, {'$': 'Ling Sang'}, {'$': 'Mei Jiang'}, {'$': 'Zhaowei Yang'}, {'$': 'Medical Treatment Expert Group for COVID-19'}]}",https://api.elsevier.com/content/article/pii/S0091674920306382,10.1016/j.jaci.2020.05.003,Private,S0091674920306382
DOI:10.1016/j.athoracsur.2020.05.002,2020-05-12,Ramping up Delivery of Cardiac Surgery During the COVID-19 Pandemic: A Guidance Statement from The Society of Thoracic Surgeons COVID-19 Task Force,N/A (Too many requests),The Annals of Thoracic Surgery,Daniel T. Engelman,"{'author': [{'$': 'Daniel T. Engelman'}, {'$': 'Sylvain Lother'}, {'$': 'Isaac George'}, {'$': 'Gorav Ailawadi'}, {'$': 'Society of Thoracic Surgeons COVID-19 Task Force and Workforce for Adult Cardiac and Vascular Surgery'}]}",https://api.elsevier.com/content/article/pii/S0003497520307128,10.1016/j.athoracsur.2020.05.002,Private,S0003497520307128
DOI:10.1016/j.athoracsur.2020.04.007,2020-04-27,Adult Cardiac Surgery and the COVID-19 Pandemic: Aggressive Infection Mitigation Strategies are Necessary in the Operating Room and Surgical Recovery,N/A (Too many requests),The Annals of Thoracic Surgery,Daniel T. Engelman,"{'author': [{'$': 'Daniel T. Engelman'}, {'$': 'Sylvain Lother'}, {'$': 'Isaac George'}, {'$': 'Duane J. Funk'}, {'$': 'Society of Thoracic Surgery COVID-19 Taskforce'}]}",https://api.elsevier.com/content/article/pii/S0003497520305877,10.1016/j.athoracsur.2020.04.007,Private,S0003497520305877
