Type,Title,Link,Authors,Abstract,PublishedDate,Availability
Correspondence,Out-of-Hospital Cardiac Arrest and Covid-19,/doi/full/10.1056/NEJMc2010418?query=featured_coronavirus,E. Baldi and Others,"From February 21 through April 1, 2019, a total of 229 cases of out-of-hospital cardiac arrest were reported in four provinces of Lombardy, Italy. During the same period in 2020 (the first 40 days of the Covid-19 epidemic), 362 cases were reported — a 58% increase. Of the additional 133 cases in 2020, a total of 103 involved suspected or diagnosed Covid-19.",Apr 29,N/A
Correspondence,ST-Segment Elevation in Covid-19,/doi/full/10.1056/NEJMc2009020?query=featured_coronavirus,S. Bangalore and Others,"Eighteen patients with Covid-19 presented with ST-segment elevation on ECG or had it develop during hospitalization. Eight patients received a diagnosis of acute myocardial infarction, and 10 had noncoronary myocardial injury. Thirteen patients died in the hospital.",Apr 17,N/A
Special Report,RAAS Inhibitors in Patients with Covid-19,/doi/full/10.1056/NEJMsr2005760?query=featured_coronavirus,M. Vaduganathan and Others,The effects of renin–angiotensin–aldosterone system blockers on angiotensin-converting enzyme 2 levels and activity in humans are uncertain. The authors hypothesize that ACE2 may be beneficial rather than harmful during lung injury and suggest that RAAS-inhibitor withdrawal may be harmful in some high-risk patients with known or suspected Covid-19.,Apr 23,N/A
Correspondence,Covid-19 in Immune-Mediated Inflammatory Diseases,/doi/full/10.1056/NEJMc2009567?query=featured_coronavirus,R. Haberman and Others,"The authors describe patients in New York City with known immune-mediated inflammatory disease in whom Covid-19 developed while they were receiving biologics, other immunomodulatory therapies, or both. The incidence of hospitalization among these patients was consistent with that among patients with Covid-19 in the general population in New York City.",Apr 29,N/A
Correspondence,Cancer Management in India during Covid-19,/doi/full/10.1056/NEJMc2011595?query=featured_coronavirus,C.S. Pramesh and R.A. Badwe,"India’s largest cancer center adopts a proactive, multipronged approach to providing treatment, while facing the reality that some services must be scaled back during a nationwide lockdown. Prioritization criteria guide treatment decisions.",Apr 28,N/A
Correspondence,Kidney-Transplant Recipients with Covid-19,/doi/full/10.1056/NEJMc2011117?query=featured_coronavirus,E. Akalin and Others,"A cohort of 36 consecutive kidney-transplant recipients had less fever, lower CD3, CD4, and CD8 cell counts, more rapid clinical deterioration, and a higher mortality than the general population of patients with Covid-19.",Apr 24,N/A
Correspondence,Stroke in Young Patients with Covid-19,/doi/full/10.1056/NEJMc2009787?query=featured_coronavirus,T.J. Oxley and Others,"Five patients younger than 50 years of age with large-vessel stroke and Covid-19 infection presented to a health system in New York City over a 2-week period. The authors report the patients’ clinical characteristics, including the presence or absence of symptoms of Covid-19.",Apr 28,N/A
Correspondence,Acute Coronary Syndrome during Covid-19 Outbreak,/doi/full/10.1056/NEJMc2009166?query=featured_coronavirus,O. De Filippo and Others,"During the Covid-19 outbreak in northern Italy, the daily rate of admissions for acute coronary syndrome at 15 hospitals was significantly lower than the rate during two control intervals (13.3 admissions vs. 18.0 and 18.9 admissions for the two control periods).",Apr 28,N/A
Correspondence,Neurologic Features in SARS-CoV-2 Infection,/doi/full/10.1056/NEJMc2008597?query=featured_coronavirus,J. Helms and Others,"In a consecutive series of 64 patients with Covid-19 and ARDS, 58 of whom underwent neurologic examination, severe agitation and corticospinal signs were common. In 2 of 13 patients, MRI of the brain showed small acute strokes, and in 1 patient, imaging showed a subacute stroke.",Apr 15,N/A
Videos in Clinical Medicine,How to Obtain a Nasopharyngeal Swab Specimen,/doi/full/10.1056/NEJMvcm2010260?query=featured_coronavirus,"F.M. Marty, K. Chen, and K.A. Verrill",Collecting specimens from the surface of the respiratory mucosa with nasopharyngeal swabs is a procedure used to diagnose Covid-19 as well as other respiratory viral infections and certain bacterial infections in adults and children. This video describes the collection of specimens for detection of Covid-19.,Apr 17,N/A
