ID,Type,Title,Link,DOI,Authors,Abstract,PublishedDate,Availability
DOI:10.1056/NEJMc2011599,Correspondence,Adaptations and Lessons in the Province of Bergamo,/doi/full/10.1056/NEJMc2011599?query=featured_coronavirus,10.1056/NEJMc2011599,"S. Fagiuoli, F.L. Lorini, and G. Remuzzi",A referral hospital in the hardest-hit region of Italy had to manage a continuously increasing number of daily admissions for Covid-19 after delayed responses in the province allowed for rapid spread of the virus. Nineteen physicians in the province died.,May 05,N/A
DOI:10.1056/NEJMc2010122,Correspondence,French Pandemic Resistance,/doi/full/10.1056/NEJMc2010122?query=featured_coronavirus,10.1056/NEJMc2010122,C. Haug,"Just over 4 years after its ED faced a flood of patients severely wounded in a terrorist attack, a Paris hospital makes large-scale changes to care for people with Covid-19 while preserving access for others needing urgent treatment.",Apr 22,N/A
DOI:10.1056/NEJMoa2006100,Original Article,SARS-CoV-2 in Iceland,/doi/full/10.1056/NEJMoa2006100?query=featured_coronavirus,10.1056/NEJMoa2006100,D.F. Gudbjartsson and Others,"Despite timely implementation of testing for SARS-CoV-2 virus, a contact-tracing scheme, and social-distancing measures, infection has spread in Iceland. However, there was no detected increase in the proportion of infected persons between March 13 and April 4, 2020.",Apr 14,N/A
DOI:10.1056/NEJMp2012114,Perspective,Coronavirus and the Navajo Nation,/doi/full/10.1056/NEJMp2012114?query=featured_coronavirus,10.1056/NEJMp2012114,H. Kovich,"Reports on the severity of the Navajo Nation outbreak don’t mention the community’s diversity of talent and experience, its resourcefulness. Infections from the outside have always found their way here. It’s just infrastructure that hasn’t.",Apr 24,N/A
DOI:10.1056/NEJMc2010419,Correspondence,Covid-19 in New York City,/doi/full/10.1056/NEJMc2010419?query=featured_coronavirus,10.1056/NEJMc2010419,P. Goyal and Others,"In this series of 393 consecutive patients admitted with Covid-19 to two New York City hospitals from March 3 to March 27, a third of patients received invasive mechanical ventilation, 10% of patients died, and 24% were still hospitalized as of April 10.",Apr 17,N/A
DOI:10.1056/NEJMc2013656,Correspondence,Prolonged aPTT in Patients with Covid-19,/doi/full/10.1056/NEJMc2013656?query=featured_coronavirus,10.1056/NEJMc2013656,L. Bowles and Others,"In this study, 20% of patients with Covid-19 had a prolonged activated partial-thromboplastin time (aPTT). In 90% of these cases, the cause was lupus anticoagulant, with no associated bleeding. Patients with Covid-19 are susceptible to thromboses. The presence of a prolonged aPTT should, in general, not be considered a contraindication to anticoagulation.",May 05,N/A
DOI:10.1056/NEJMc2011595,Correspondence,Cancer Management in India during Covid-19,/doi/full/10.1056/NEJMc2011595?query=featured_coronavirus,10.1056/NEJMc2011595,C.S. Pramesh and R.A. Badwe,"India’s largest cancer center adopts a proactive, multipronged approach to providing treatment, while facing the reality that some services must be scaled back during a nationwide lockdown. Prioritization criteria guide treatment decisions.",Apr 28,N/A
DOI:10.1056/NEJMc2008597,Correspondence,Neurologic Features in SARS-CoV-2 Infection,/doi/full/10.1056/NEJMc2008597?query=featured_coronavirus,10.1056/NEJMc2008597,J. Helms and Others,"In a consecutive series of 64 patients with Covid-19 and ARDS, 58 of whom underwent neurologic examination, severe agitation and corticospinal signs were common. In 2 of 13 patients, MRI of the brain showed small acute strokes, and in 1 patient, imaging showed a subacute stroke.",Apr 15,N/A
DOI:10.1056/NEJMc2009567,Correspondence,Covid-19 in Immune-Mediated Inflammatory Diseases,/doi/full/10.1056/NEJMc2009567?query=featured_coronavirus,10.1056/NEJMc2009567,R. Haberman and Others,"The authors describe patients in New York City with known immune-mediated inflammatory disease in whom Covid-19 developed while they were receiving biologics, other immunomodulatory therapies, or both. The incidence of hospitalization among these patients was consistent with that among patients with Covid-19 in the general population in New York City.",Apr 29,N/A
DOI:10.1056/NEJMc2007575,Correspondence,Coagulopathy in Critical Illness with Covid-19,/doi/full/10.1056/NEJMc2007575?query=featured_coronavirus,10.1056/NEJMc2007575,Y. Zhang and Others,"The authors describe a 69-year-old man with Covid-19 diagnosed in January 2020 in Wuhan, China, along with two other critically ill patients with Covid-19 who were also seen in the same intensive care unit. Coagulopathy and antiphospholipid antibodies were seen in all three patients.",Apr 23,N/A
DOI:10.1056/NEJMc2011117,Correspondence,Kidney-Transplant Recipients with Covid-19,/doi/full/10.1056/NEJMc2011117?query=featured_coronavirus,10.1056/NEJMc2011117,E. Akalin and Others,"A cohort of 36 consecutive kidney-transplant recipients had less fever, lower CD3, CD4, and CD8 cell counts, more rapid clinical deterioration, and a higher mortality than the general population of patients with Covid-19.",Apr 24,N/A
DOI:10.1056/NEJMoa2006923,Original Article,Renin–Angiotensin–Aldosterone System Blockers and Covid-19,/doi/full/10.1056/NEJMoa2006923?query=featured_coronavirus,10.1056/NEJMoa2006923,G. Mancia and Others,"This population-based case–control study from northern Italy shows that the use of ACE inhibitors and ARBs was more frequent among patients with Covid-19 because of a higher prevalence of cardiovascular disease. However, there was no evidence that ACE inhibitors and ARBs affected the risk of Covid-19.",May 01,N/A
DOI:10.1056/NEJMoa2008975,Original Article,RAAS Inhibitors and Risk of Covid-19,/doi/full/10.1056/NEJMoa2008975?query=featured_coronavirus,10.1056/NEJMoa2008975,H.R. Reynolds and Others,"There is concern that patients taking renin–angiotensin–aldosterone system blockers have an increased risk of Covid-19, because angiotensin-converting enzyme 2 is a receptor for the virus. This study showed no increase in likelihood of a positive Covid-19 test or severe Covid-19 in patients taking any of five common classes of antihypertensive drugs.",May 01,N/A
DOI:10.1056/NEJMoa2007621,Original Article,"Covid-19, Cardiovascular Disease, and Drug Therapy",/doi/full/10.1056/NEJMoa2007621?query=featured_coronavirus,10.1056/NEJMoa2007621,M.R. Mehra and Others,Data on 8910 patients hospitalized with a diagnosis of Covid-19 were analyzed. Cardiovascular disease was associated with an increased risk of in-hospital death. Neither the use of angiotensin-converting–enzyme inhibitors nor the use of angiotensin-receptor blockers was associated with an increased risk of in-hospital death.,May 01,N/A
DOI:10.1056/NEJMe2012924,Editorial,RAAS Inhibitors and Covid-19,/doi/full/10.1056/NEJMe2012924?query=featured_coronavirus,10.1056/NEJMe2012924,J.A. Jarcho and Others,The editors comment on three Journal articles that provide observational data about whether ACE inhibitors and ARBs are harmful in the context of the Covid-19 epidemic. None of the three studies showed evidence of harm with continued use of these agents.,May 01,N/A
DOI:10.1056/NEJMsr2005760,Special Report,RAAS Inhibitors in Patients with Covid-19,/doi/full/10.1056/NEJMsr2005760?query=featured_coronavirus,10.1056/NEJMsr2005760,M. Vaduganathan and Others,The effects of renin–angiotensin–aldosterone system blockers on angiotensin-converting enzyme 2 levels and activity in humans are uncertain. The authors hypothesize that ACE2 may be beneficial rather than harmful during lung injury and suggest that RAAS-inhibitor withdrawal may be harmful in some high-risk patients with known or suspected Covid-19.,Apr 23,N/A
