ID,DOI,Type,Title,Abstract,PublishedDate,Source
DOI:10.1016/j.ando.2020.04.005,10.1016/j.ando.2020.04.005,Annales d'Endocrinologie,Renin-angiotensin-aldosterone system and COVID-19 infection,"                                                  With the multiplication of COVID-19 severe acute respiratory syndrome cases due to SARS-COV2, some concerns about angiotensin-converting enzyme 1 (ACE1) inhibitors (ACEi) and angiotensin II type 1 receptor blockers (ARB) have emerged. Since the ACE2 (angiotensin-converting enzyme 2) enzyme is the receptor that allows SARS COV2 entry into cells, the fear was that pre-existing treatment with ACEi or ARB might increase the risk of developing severe or fatal severe acute respiratory syndrome in case of COVID-19 infection. The present article discusses these concerns. ACE2 is a membrane-bound enzyme (carboxypeptidase) that contributes to the inactivation of angiotensin II and therefore physiologically counters angiotensin II effects. ACEis do not inhibit ACE2. Although ARBs have been shown to up-regulate ACE2 tissue expression in experimental animals, evidence was not always consistent in human studies. Moreover, to date there is no evidence that ACEi or ARB administration facilitates SARS-COV2 cell entry by increasing ACE2 tissue expression in either animal or human studies. Finally, some studies support the hypothesis that elevated ACE2 membrane expression and tissue activity by administration of ARB and/or infusion of soluble ACE2 could confer protective properties against inflammatory tissue damage in COVID-19 infection. In summary, based on the currently available evidence and as advocated by many medical societies, ACEi or ARB should not be discontinued because of concerns with COVID-19 infection, except when the hemodynamic situation is precarious and case-by-case adjustment is required.",2020-04-21 00:00:00,ELSEVIER
DOI:10.1016/j.jamda.2020.04.017,10.1016/j.jamda.2020.04.017,Journal of the American Medical Directors Association,THE GERIATRICIAN: THE FRONTLINE SPECIALIST IN THE TREATMENT OF COVID-19 PATIENTS,"                                                  On February 20, 2020, a man living in the north of Italy was admitted to the emergency room with an atypical pneumonia that later proved to be COVID-19. This was the trigger of one of the most serious clusters of COVID-19 in the world, outside of China. Despite aggressive restraint and inhibition efforts, COVID-19 continues to increase, and the total number of infected patients in Italy is growing daily. After six weeks the total number of patients reached 128,948 cases (April 5, 2020), with the higher case-fatality rate (15,887 deaths) dominated by old and very old patients.                   This sudden health emergency severely challenged the Italian Health System, in particular acute care hospitals and intensive care units. In one hospital, geriatric observation units were created, the experience of which can be extremely useful for European countries, the United States, and all countries that in the coming days will face a similar situation.",2020-04-23 00:00:00,ELSEVIER
DOI:10.1016/j.fertnstert.2020.04.025,10.1016/j.fertnstert.2020.04.025,Fertility and Sterility,"Prior and Novel Coronaviruses, COVID-19, and Human Reproduction: What Is Known?","                Structured                                   Objective                   To summarize current understanding of the effects of novel and prior coronaviruses on human reproduction, specifically male and female gametes, and in pregnancy.                                                   Design                   Review of English publications in PubMed and Embase to April 6, 2020.                                                   Methods                   Manuscripts were screened for reports including coronavirus, reproduction, including pathophysiology and pregnancy.                                                   Intervention(s)                   None.                                                   Main Outcome Measure(s)                   Reproductive outcomes; effects on gametes; pregnancy outcomes; neonatal complications.                                                   Results                   Seventy-nine reports formed the basis of the review. Coronavirus binding to cells involves the S1 domain of the spike protein to receptors present in reproductive tissues, including angiotensin converting enzyme-2 (ACE2), CD26, Ezrin, and cyclophilins. SARS-CoV-1 may cause severe orchitis leading to germ cell destruction in males. Reports indicate decreased sperm concentration and motility for 72-90 days following COVID-19 infection. Gonadotropin-dependent expression of ACE2 was found in human ovaries, but it is unclear whether SARS-CoV-2 adversely affects female gametogenesis. Evidence suggests that COVID-19 infection has a lower maternal case fatality rate than SARS or MERS, but anecdotal reports suggest that infected, asymptomatic women may develop respiratory symptoms postpartum. COVID-19 infections in pregnancy are associated with preterm delivery. Postpartum neonatal transmission from mother to child has been reported.                                                   Conclusion                   COVID-19 infection may adversely affect some pregnant women and their offspring. Additional studies are needed to assess effects of SARS-CoV-2 infection on male and female fertility.",2020-04-16 00:00:00,ELSEVIER
DOI:10.1016/j.neurol.2020.04.004,10.1016/j.neurol.2020.04.004,Revue Neurologique,Guidance for the care of neuromuscular patients during the COVID-19 pandemic outbreak from the French Rare Health Care for Neuromuscular Diseases Network,"                                                  In France, the epidemic phase of COVID-19 caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) began in February 2020 and resulted in the implementation of emergency measures and a degradation in the organization of neuromuscular reference centers. In this special context, the French Rare Health Care for Neuromuscular Diseases Network (FILNEMUS) has established guidance in an attempt to homogenize the management of neuromuscular (NM) patients within the French territory. Hospitalization should be reserved for emergencies, the conduct of treatments that cannot be postponed, check-ups for which the diagnostic delay may result in a loss of survival chance, and cardiorespiratory assessments for which the delay could be detrimental to the patient. A national strategy was adopted during a period of 1 to 2months concerning treatments usually administered in hospitalization. NM patients treated with steroid/immunosuppressants for a dysimmune pathology should continue all of their treatments in the absence of any manifestations suggestive of COVID-19. A frequently asked questions (FAQ) sheet has been compiled and updated on the FILNEMUS website. Various support systems for self-rehabilitation and guided exercises have been also provided on the website. In the context of NM diseases, particular attention must be paid to two experimental COVID-19 treatments, hydroxycholoroquine and azithromycin: risk of exacerbation of myasthenia gravis and QT prolongation in patients with pre-existing cardiac involvement. The unfavorable emergency context related to COVID-19 may specially affect the potential for intensive care admission (ICU) for people with NMD. In order to preserve the fairest medical decision, a multidisciplinary working group has listed the neuromuscular diseases with a good prognosis, usually eligible for resuscitation admission in ICU and, for other NM conditions, the positive criteria suggesting a good prognosis. Adaptation of the use of noninvasive ventilation (NIV) make it possible to limit nebulization and continue using NIV in ventilator-dependent patients.",2020-04-20 00:00:00,ELSEVIER
DOI:10.1016/j.ultrasmedbio.2020.04.026,10.1016/j.ultrasmedbio.2020.04.026,Ultrasound in Medicine & Biology,Lung Ultrasound in Children with COVID-19: Preliminary Findings,"                Abstract—                                   Recent evidence indicates the usefulness of lung ultrasound (LUS) in detecting coronavirus disease 19 (COVID-19) pneumonia. However, no data are available on the use of LUS in children with COVID-19 pneumonia. In this report, we describe LUS features of 10 consecutively admitted children with COVID-19 in two tertiary-level pediatric hospitals in Rome. LUS revealed signs of lung involvement during COVID-19 infection. In particular, vertical artifacts (70%), pleural irregularities (60%), areas of white lung (10%) and subpleural consolidations (10%) were the main findings in patients with COVID-19. No cases of pleural effusions were found. According to our experience, the routine use of LUS in the evaluation of children with suspected or confirmed COVID-19, when performed by clinicians with documented experience in LUS, was useful in diagnosing and monitoring pediatric COVID-19 pneumonia, reducing unnecessary radiation/sedation in children and exposure of health care workers to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).",2020-05-03 00:00:00,ELSEVIER
DOI:10.1016/j.jtcvs.2020.04.059,10.1016/j.jtcvs.2020.04.059,The Journal of Thoracic and Cardiovascular Surgery,Adult Cardiac Surgery and the COVID-19 Pandemic: Aggressive Infection Mitigation Strategies are Necessary in the Operating Room and Surgical Recovery,"                                                  The COVID-19 pandemic necessitates aggressive infection mitigation strategies to reduce the risk to patients and healthcare providers. This document is intended to provide a framework for the adult cardiac surgeon to consider in this rapidly changing environment. Pre, intra, and post-operative detailed protective measures are outlined. These are guidance recommendations during a pandemic surge to be utilized for ALL patients while local COVID-19 disease burden remains elevated.",2020-04-27 00:00:00,ELSEVIER
DOI:10.1016/j.athoracsur.2020.04.007,10.1016/j.athoracsur.2020.04.007,The Annals of Thoracic Surgery,Adult Cardiac Surgery and the COVID-19 Pandemic: Aggressive Infection Mitigation Strategies are Necessary in the Operating Room and Surgical Recovery,"                                                  The COVID-19 pandemic necessitates aggressive infection mitigation strategies to reduce the risk to patients and healthcare providers. This document is intended to provide a framework for the adult cardiac surgeon to consider in this rapidly changing environment. Pre, intra, and post-operative detailed protective measures are outlined. These are guidance recommendations during a pandemic surge to be utilized for ALL patients while local COVID-19 disease burden remains elevated.",2020-04-27 00:00:00,ELSEVIER
DOI:10.1016/j.thromres.2020.04.024,10.1016/j.thromres.2020.04.024,Thrombosis Research,"Venous and arterial thromboembolic complications in COVID-19 patients admitted to an academic hospital in Milan, Italy","                                                  Background                   Few data are available on the rate and characteristics of thromboembolic complications in hospitalized patients with COVID-19.                                                   Methods                   We studied consecutive symptomatic patients with laboratory-proven COVID-19 admitted to a university hospital in Milan, Italy (13.02.2020–10.04.2020). The primary outcome was any thromboembolic complication, including venous thromboembolism (VTE), ischemic stroke, and acute coronary syndrome (ACS)/myocardial infarction (MI). Secondary outcome was overt disseminated intravascular coagulation (DIC).                                                   Results                   We included 388 patients (median age 66 years, 68% men, 16% requiring intensive care [ICU]). Thromboprophylaxis was used in 100% of ICU patients and 75% of those on the general ward. Thromboembolic events occurred in 28 (7.7% of closed cases; 95%CI 5.4%–11.0%), corresponding to a cumulative rate of 21% (27.6% ICU, 6.6% general ward). Half of the thromboembolic events were diagnosed within 24 h of hospital admission. Forty-four patients underwent VTE imaging tests and VTE was confirmed in 16 (36%). Computed tomography pulmonary angiography (CTPA) was performed in 30 patients, corresponding to 7.7% of total, and pulmonary embolism was confirmed in 10 (33% of CTPA). The rate of ischemic stroke and ACS/MI was 2.5% and 1.1%, respectively. Overt DIC was present in 8 (2.2%) patients.                                                   Conclusions                   The high number of arterial and, in particular, venous thromboembolic events diagnosed within 24 h of admission and the high rate of positive VTE imaging tests among the few COVID-19 patients tested suggest that there is an urgent need to improve specific VTE diagnostic strategies and investigate the efficacy and safety of thromboprophylaxis in ambulatory COVID-19 patients.",2020-04-23 00:00:00,ELSEVIER
DOI:10.1016/j.ekir.2020.04.001,10.1016/j.ekir.2020.04.001,Kidney International Reports,"Management of Patients on Dialysis and With Kidney Transplantation During the SARS-CoV-2 (COVID-19) Pandemic in Brescia, Italy","The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), also known as coronavirus disease (COVID-19), is a major pandemic challenging health care systems around the world. The optimal management of patients infected with COVID-19 is still unclear, although the consensus is moving toward the need of a biphasic approach. During the first phase of the disease (from onset of the symptoms up to 7–10 days) viral-induced effects are prominent, with the opportunity to institute antiviral therapy. In the second inflammatory phase of the disease, immunosuppressive strategies (for example with glucocorticoids or anticytokine drugs) may be considered. This latter stage is characterized by the development of progressive lung involvement with increasing oxygen requirements and occasionally signs of the hemophagocytic syndrome. The management of the disease in patients with kidney disease is even more challenging, especially in those who are immunosuppressed or with severe comorbidities. Here we present the therapeutic approach used in Brescia (Italy) for managing patients infected with COVID-19 who underwent kidney transplantation and are receiving hemodialysis. Furthermore, we provide some clinical and physiopathological background, as well as preliminary outcome data of our cohort, to better clarify the pathogenesis of the disease and clinical management.",2020-04-04 00:00:00,ELSEVIER
DOI:10.1016/j.numecd.2020.04.001,10.1016/j.numecd.2020.04.001,"Nutrition, Metabolism and Cardiovascular Diseases",A close-up on COVID-19 and cardiovascular diseases,"                                                  Aims                   To analyze the potential mechanism of cardiovascular dysfunctions induced by Coronavirus Disease 2019 (COVID-19) and to evaluate more effective therapeutic pathways for patients with cardiovascular diseases.                                                   Data Synthesis                   COVID-19 mainly invades the lungs, causing its serious damage. Studies found that COVID-19 induced the renin-angiotensin system imbalance, inflammatory storm, hypoxemia and stress response et al, all contributed to hypertension and serious myocardial damage in the process of virus pathogenesis, even increasing mortality in COVID-19 patients.                                                   Conclusions                   In the process of management of COVID-19 infections, close attention should be paid on both lung and cardiovascular damage, especially on those with only symptoms of cardiovascular diseases. Early identification, timely and effective treatments, maintenance of hemodynamics and electrophysiological stability are of great significance on effective treatment and long-term prognosis.                   The pandemic of COVID-19 has been taking lives worldwide. It caused by a novel coronavirus which human being are lack of defensive function in whole population. It targets human’s lung and causes serious damage of lungs. Based on early reports, for people with underlying heart issues, the concerns are serious. It appears people over 65 with coronary heart diseases or hypertension is more likely to be infected and to develop more severe symptoms. In addition, some of hospitalized COVID-19 patients had cardiovascular diseases in China. As characteristic analysis of COVID-19 patients, hypertension and severe myocardial damage contribute to severity [1] and mortality of COVID-19 patients [2]. Therefore, to better understand the development of COVID-19 and the impacts of cardiovascular diseases will add valuable measures to the management of COVID-19 patients.",2020-04-08 00:00:00,ELSEVIER
