ID,PublishedDate,Title,Abstract,PublicationName,Creator,Authors,Link,DOI,Availability,PII,lemmas_title,lemmas_abstract
DOI:10.1016/j.ando.2020.04.005,2020-04-21T00:00:00.000Z,Renin-angiotensin-aldosterone system and COVID-19 infection,"
               Abstract
               
                  With the multiplication of COVID-19 severe acute respiratory syndrome cases due to SARS COV2, some concerns about angiotensin-converting enzyme 1 (ACE1) inhibitors (ACEi) and angiotensin II type 1 receptor blockers (ARB) have emerged. Because the ACE2 (angiotensin-converting enzyme 2) enzyme is the receptor that allows SARS COV2 entry into cells, the fear was that pre-existing treatment with ACEi or ARB might increase the risk of developing severe or fatal severe acute respiratory syndrome in case of COVID-19 infection. The present article discusses these concerns. ACE2 is a membrane-bound enzyme (carboxypeptidase) that contributes to the inactivation of angiotensin II and therefore physiologically counters angiotensin II effects. ACEis do not inhibit ACE2. Although ARBs have been shown to upregulate ACE2 tissue expression in experimental animals, evidence was not always consistent in human studies. Moreover, to date there is no evidence that ACEi or ARB administration facilitates SARS COV2 cell entry by increasing ACE2 tissue expression in either animal or human studies. Finally, some studies support the hypothesis that elevated ACE2 membrane expression and tissue activity by administration of ARB and/or infusion of soluble ACE2 could confer protective properties against inflammatory tissue damage in COVID-19 infection. In summary, based on the currently available evidence and as advocated by many medical societies, ACEi or ARB should not be discontinued because of concerns with COVID-19 infection, except when the hemodynamic situation is precarious and case-by-case adjustment is required.
               
            ",Annales d'Endocrinologie,J Alexandre,"{'author': [{'$': 'J Alexandre'}, {'$': 'JL Cracowski'}, {'$': 'V Richard'}, {'$': 'B Bouhanick'}, {'$': 'in name of the “Drugs and COVID-19” working group of the French Society of Pharmacology and Therapeutics (SFPT)'}]}",https://api.elsevier.com/content/article/pii/S0003426620300627,10.1016/j.ando.2020.04.005,Private,S0003426620300627,"['Renin-angiotensin-aldosterone', 'system', 'COVID-19', 'infection']","['Abstract', 'With', 'multiplication', 'COVID-19', 'severe', 'acute', 'respiratory', 'syndrome', 'case', 'due', 'SARS', 'COV2,', 'concern', 'angiotensin-converting', 'enzyme', '1', '(ACE1)', 'inhibitors', '(ACEi)', 'angiotensin', 'II', 'type', '1', 'receptor', 'blockers', '(ARB)', 'emerged.', 'Because', 'ACE2', '(angiotensin-converting', 'enzyme', '2)', 'enzyme', 'receptor', 'allow', 'SARS', 'COV2', 'entry', 'cells,', 'fear', 'pre-existing', 'treatment', 'ACEi', 'ARB', 'might', 'increase', 'risk', 'develop', 'severe', 'fatal', 'severe', 'acute', 'respiratory', 'syndrome', 'case', 'COVID-19', 'infection.', 'The', 'present', 'article', 'discuss', 'concerns.', 'ACE2', 'membrane-bound', 'enzyme', '(carboxypeptidase)', 'contribute', 'inactivation', 'angiotensin', 'II', 'therefore', 'physiologically', 'counter', 'angiotensin', 'II', 'effects.', 'ACEis', 'inhibit', 'ACE2.', 'Although', 'ARBs', 'show', 'upregulate', 'ACE2', 'tissue', 'expression', 'experimental', 'animals,', 'evidence', 'always', 'consistent', 'human', 'studies.', 'Moreover,', 'date', 'evidence', 'ACEi', 'ARB', 'administration', 'facilitate', 'SARS', 'COV2', 'cell', 'entry', 'increase', 'ACE2', 'tissue', 'expression', 'either', 'animal', 'human', 'studies.', 'Finally,', 'study', 'support', 'hypothesis', 'elevate', 'ACE2', 'membrane', 'expression', 'tissue', 'activity', 'administration', 'ARB', 'and/or', 'infusion', 'soluble', 'ACE2', 'could', 'confer', 'protective', 'properties', 'inflammatory', 'tissue', 'damage', 'COVID-19', 'infection.', 'In', 'summary,', 'base', 'currently', 'available', 'evidence', 'advocate', 'many', 'medical', 'societies,', 'ACEi', 'ARB', 'discontinue', 'concern', 'COVID-19', 'infection,', 'except', 'hemodynamic', 'situation', 'precarious', 'case-by-case', 'adjustment', 'required.']"
DOI:10.1016/j.jamda.2020.04.017,2020-04-23T00:00:00.000Z,THE GERIATRICIAN: THE FRONTLINE SPECIALIST IN THE TREATMENT OF COVID-19 PATIENTS,"
               Abstract
               
                  On February 20, 2020, a man living in the north of Italy was admitted to the emergency room with an atypical pneumonia that later proved to be COVID-19. This was the trigger of one of the most serious clusters of COVID-19 in the world, outside of China. Despite aggressive restraint and inhibition efforts, COVID-19 continues to increase, and the total number of infected patients in Italy is growing daily. After six weeks the total number of patients reached 128,948 cases (April 5, 2020), with the higher case-fatality rate (15,887 deaths) dominated by old and very old patients.
                  This sudden health emergency severely challenged the Italian Health System, in particular acute care hospitals and intensive care units. In one hospital, geriatric observation units were created, the experience of which can be extremely useful for European countries, the United States, and all countries that in the coming days will face a similar situation.
               
            ",Journal of the American Medical Directors Association,Gemelli Against COVID-19 Geriatrics Team,"{'author': [{'$': 'Gemelli Against COVID-19 Geriatrics Team'}, {'$': 'F. Landi'}, {'$': 'C. Barillaro'}, {'$': 'A. Bellieni'}, {'$': 'R. Bernabei'}]}",https://api.elsevier.com/content/article/pii/S1525861020303479,10.1016/j.jamda.2020.04.017,Private,S1525861020303479,"['THE', 'GERIATRICIAN:', 'THE', 'FRONTLINE', 'SPECIALIST', 'IN', 'THE', 'TREATMENT', 'OF', 'COVID-19', 'PATIENTS']","['Abstract', 'On', 'February', '20,', '2020,', 'man', 'live', 'north', 'Italy', 'admit', 'emergency', 'room', 'atypical', 'pneumonia', 'later', 'prove', 'COVID-19.', 'This', 'trigger', 'one', 'serious', 'cluster', 'COVID-19', 'world,', 'outside', 'China.', 'Despite', 'aggressive', 'restraint', 'inhibition', 'efforts,', 'COVID-19', 'continue', 'increase,', 'total', 'number', 'infect', 'patients', 'Italy', 'grow', 'daily.', 'After', 'six', 'weeks', 'total', 'number', 'patients', 'reach', '128,948', 'case', '(April', '5,', '2020),', 'higher', 'case-fatality', 'rate', '(15,887', 'deaths)', 'dominate', 'old', 'old', 'patients.', 'This', 'sudden', 'health', 'emergency', 'severely', 'challenge', 'Italian', 'Health', 'System,', 'particular', 'acute', 'care', 'hospitals', 'intensive', 'care', 'units.', 'In', 'one', 'hospital,', 'geriatric', 'observation', 'units', 'created,', 'experience', 'extremely', 'useful', 'European', 'countries,', 'United', 'States,', 'countries', 'come', 'days', 'face', 'similar', 'situation.']"
DOI:10.1016/j.fertnstert.2020.04.025,2020-04-16T00:00:00.000Z,"Prior and Novel Coronaviruses, COVID-19, and Human Reproduction: What Is Known?","
               Structured Abstract
               
                  Objective
                  To summarize current understanding of the effects of novel and prior coronaviruses on human reproduction, specifically male and female gametes, and in pregnancy.
               
               
                  Design
                  Review of English publications in PubMed and Embase to April 6, 2020.
               
               
                  Methods
                  Manuscripts were screened for reports including coronavirus, reproduction, including pathophysiology and pregnancy.
               
               
                  Intervention(s)
                  None.
               
               
                  Main Outcome Measure(s)
                  Reproductive outcomes; effects on gametes; pregnancy outcomes; neonatal complications.
               
               
                  Results
                  Seventy-nine reports formed the basis of the review. Coronavirus binding to cells involves the S1 domain of the spike protein to receptors present in reproductive tissues, including angiotensin converting enzyme-2 (ACE2), CD26, Ezrin, and cyclophilins. SARS-CoV-1 may cause severe orchitis leading to germ cell destruction in males. Reports indicate decreased sperm concentration and motility for 72-90 days following COVID-19 infection. Gonadotropin-dependent expression of ACE2 was found in human ovaries, but it is unclear whether SARS-CoV-2 adversely affects female gametogenesis. Evidence suggests that COVID-19 infection has a lower maternal case fatality rate than SARS or MERS, but anecdotal reports suggest that infected, asymptomatic women may develop respiratory symptoms postpartum. COVID-19 infections in pregnancy are associated with preterm delivery. Postpartum neonatal transmission from mother to child has been reported.
               
               
                  Conclusion
                  COVID-19 infection may adversely affect some pregnant women and their offspring. Additional studies are needed to assess effects of SARS-CoV-2 infection on male and female fertility.
               
            ",Fertility and Sterility,James Segars,"{'author': [{'$': 'James Segars'}, {'$': 'Quinton Katler'}, {'$': 'Dana B. McQueen'}, {'$': 'Alexander Kotlyar'}, {'$': 'ASRM Coronavirus/COVID-19 Task Force'}]}",https://api.elsevier.com/content/article/pii/S001502822030385X,10.1016/j.fertnstert.2020.04.025,Private,S001502822030385X,"['Prior', 'Novel', 'Coronaviruses,', 'COVID-19,', 'Human', 'Reproduction:', 'What', 'Is', 'Known?']","['Structured', 'Abstract', 'Objective', 'To', 'summarize', 'current', 'understand', 'effect', 'novel', 'prior', 'coronaviruses', 'human', 'reproduction,', 'specifically', 'male', 'female', 'gametes,', 'pregnancy.', 'Design', 'Review', 'English', 'publications', 'PubMed', 'Embase', 'April', '6,', '2020.', 'Methods', 'Manuscripts', 'screen', 'report', 'include', 'coronavirus,', 'reproduction,', 'include', 'pathophysiology', 'pregnancy.', 'Intervention(s)', 'None.', 'Main', 'Outcome', 'Measure(s)', 'Reproductive', 'outcomes;', 'effect', 'gametes;', 'pregnancy', 'outcomes;', 'neonatal', 'complications.', 'Results', 'Seventy-nine', 'report', 'form', 'basis', 'review.', 'Coronavirus', 'bind', 'cells', 'involve', 'S1', 'domain', 'spike', 'protein', 'receptors', 'present', 'reproductive', 'tissues,', 'include', 'angiotensin', 'convert', 'enzyme-2', '(ACE2),', 'CD26,', 'Ezrin,', 'cyclophilins.', 'SARS-CoV-1', 'may', 'cause', 'severe', 'orchitis', 'lead', 'germ', 'cell', 'destruction', 'males.', 'Reports', 'indicate', 'decrease', 'sperm', 'concentration', 'motility', '72-90', 'days', 'follow', 'COVID-19', 'infection.', 'Gonadotropin-dependent', 'expression', 'ACE2', 'find', 'human', 'ovaries,', 'unclear', 'whether', 'SARS-CoV-2', 'adversely', 'affect', 'female', 'gametogenesis.', 'Evidence', 'suggest', 'COVID-19', 'infection', 'lower', 'maternal', 'case', 'fatality', 'rate', 'SARS', 'MERS,', 'anecdotal', 'report', 'suggest', 'infected,', 'asymptomatic', 'women', 'may', 'develop', 'respiratory', 'symptoms', 'postpartum.', 'COVID-19', 'infections', 'pregnancy', 'associate', 'preterm', 'delivery.', 'Postpartum', 'neonatal', 'transmission', 'mother', 'child', 'reported.', 'Conclusion', 'COVID-19', 'infection', 'may', 'adversely', 'affect', 'pregnant', 'women', 'offspring.', 'Additional', 'study', 'need', 'assess', 'effect', 'SARS-CoV-2', 'infection', 'male', 'female', 'fertility.']"
DOI:10.1016/j.neurol.2020.04.004,2020-04-20T00:00:00.000Z,Guidance for the care of neuromuscular patients during the COVID-19 pandemic outbreak from the French Rare Health Care for Neuromuscular Diseases Network,"
               Abstract
               
                  In France, the epidemic phase of COVID-19 caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) began in February 2020 and resulted in the implementation of emergency measures and a degradation in the organization of neuromuscular reference centers. In this special context, the French Rare Health Care for Neuromuscular Diseases Network (FILNEMUS) has established guidance in an attempt to homogenize the management of neuromuscular (NM) patients within the French territory. Hospitalization should be reserved for emergencies, the conduct of treatments that cannot be postponed, check-ups for which the diagnostic delay may result in a loss of survival chance, and cardiorespiratory assessments for which the delay could be detrimental to the patient. A national strategy was adopted during a period of 1 to 2months concerning treatments usually administered in hospitalization. NM patients treated with steroid/immunosuppressants for a dysimmune pathology should continue all of their treatments in the absence of any manifestations suggestive of COVID-19. A frequently asked questions (FAQ) sheet has been compiled and updated on the FILNEMUS website. Various support systems for self-rehabilitation and guided exercises have been also provided on the website. In the context of NM diseases, particular attention must be paid to two experimental COVID-19 treatments, hydroxycholoroquine and azithromycin: risk of exacerbation of myasthenia gravis and QT prolongation in patients with pre-existing cardiac involvement. The unfavorable emergency context related to COVID-19 may specially affect the potential for intensive care admission (ICU) for people with NMD. In order to preserve the fairest medical decision, a multidisciplinary working group has listed the neuromuscular diseases with a good prognosis, usually eligible for resuscitation admission in ICU and, for other NM conditions, the positive criteria suggesting a good prognosis. Adaptation of the use of noninvasive ventilation (NIV) make it possible to limit nebulization and continue using NIV in ventilator-dependent patients.
               
            ",Revue Neurologique,G. Solé,"{'author': [{'$': 'G. Solé'}, {'$': 'E. Salort-Campana'}, {'$': 'Y. Pereon'}, {'$': 'T. Stojkovic'}, {'$': 'FILNEMUS COVID-19 study group'}]}",https://api.elsevier.com/content/article/pii/S0035378720305233,10.1016/j.neurol.2020.04.004,Private,S0035378720305233,"['Guidance', 'care', 'neuromuscular', 'patients', 'COVID-19', 'pandemic', 'outbreak', 'French', 'Rare', 'Health', 'Care', 'Neuromuscular', 'Diseases', 'Network']","['Abstract', 'In', 'France,', 'epidemic', 'phase', 'COVID-19', 'cause', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(SARS-CoV-2)', 'begin', 'February', '2020', 'result', 'implementation', 'emergency', 'measure', 'degradation', 'organization', 'neuromuscular', 'reference', 'centers.', 'In', 'special', 'context,', 'French', 'Rare', 'Health', 'Care', 'Neuromuscular', 'Diseases', 'Network', '(FILNEMUS)', 'establish', 'guidance', 'attempt', 'homogenize', 'management', 'neuromuscular', '(NM)', 'patients', 'within', 'French', 'territory.', 'Hospitalization', 'reserve', 'emergencies,', 'conduct', 'treatments', 'cannot', 'postponed,', 'check-ups', 'diagnostic', 'delay', 'may', 'result', 'loss', 'survival', 'chance,', 'cardiorespiratory', 'assessments', 'delay', 'could', 'detrimental', 'patient.', 'A', 'national', 'strategy', 'adopt', 'period', '1', '2months', 'concern', 'treatments', 'usually', 'administer', 'hospitalization.', 'NM', 'patients', 'treat', 'steroid/immunosuppressants', 'dysimmune', 'pathology', 'continue', 'treatments', 'absence', 'manifestations', 'suggestive', 'COVID-19.', 'A', 'frequently', 'ask', 'question', '(FAQ)', 'sheet', 'compile', 'update', 'FILNEMUS', 'website.', 'Various', 'support', 'systems', 'self-rehabilitation', 'guide', 'exercise', 'also', 'provide', 'website.', 'In', 'context', 'NM', 'diseases,', 'particular', 'attention', 'must', 'pay', 'two', 'experimental', 'COVID-19', 'treatments,', 'hydroxycholoroquine', 'azithromycin:', 'risk', 'exacerbation', 'myasthenia', 'gravis', 'QT', 'prolongation', 'patients', 'pre-existing', 'cardiac', 'involvement.', 'The', 'unfavorable', 'emergency', 'context', 'relate', 'COVID-19', 'may', 'specially', 'affect', 'potential', 'intensive', 'care', 'admission', '(ICU)', 'people', 'NMD.', 'In', 'order', 'preserve', 'fairest', 'medical', 'decision,', 'multidisciplinary', 'work', 'group', 'list', 'neuromuscular', 'diseases', 'good', 'prognosis,', 'usually', 'eligible', 'resuscitation', 'admission', 'ICU', 'and,', 'NM', 'conditions,', 'positive', 'criteria', 'suggest', 'good', 'prognosis.', 'Adaptation', 'use', 'noninvasive', 'ventilation', '(NIV)', 'make', 'possible', 'limit', 'nebulization', 'continue', 'use', 'NIV', 'ventilator-dependent', 'patients.']"
DOI:10.1016/j.jtcvs.2020.04.059,2020-04-27T00:00:00.000Z,Adult Cardiac Surgery and the COVID-19 Pandemic: Aggressive Infection Mitigation Strategies are Necessary in the Operating Room and Surgical Recovery,"
               Abstract
               
                  The COVID-19 pandemic necessitates aggressive infection mitigation strategies to reduce the risk to patients and healthcare providers. This document is intended to provide a framework for the adult cardiac surgeon to consider in this rapidly changing environment. Pre, intra, and post-operative detailed protective measures are outlined. These are guidance recommendations during a pandemic surge to be utilized for ALL patients while local COVID-19 disease burden remains elevated.
               
            ",The Journal of Thoracic and Cardiovascular Surgery,Daniel T. Engelman,"{'author': [{'$': 'Daniel T. Engelman'}, {'$': 'Sylvain Lother'}, {'$': 'Isaac George'}, {'$': 'Duane J. Funk'}, {'$': 'Society of Thoracic Surgery COVID-19 Taskforce'}]}",https://api.elsevier.com/content/article/pii/S0022522320310114,10.1016/j.jtcvs.2020.04.059,Private,S0022522320310114,"['Adult', 'Cardiac', 'Surgery', 'COVID-19', 'Pandemic:', 'Aggressive', 'Infection', 'Mitigation', 'Strategies', 'Necessary', 'Operating', 'Room', 'Surgical', 'Recovery']","['Abstract', 'The', 'COVID-19', 'pandemic', 'necessitate', 'aggressive', 'infection', 'mitigation', 'strategies', 'reduce', 'risk', 'patients', 'healthcare', 'providers.', 'This', 'document', 'intend', 'provide', 'framework', 'adult', 'cardiac', 'surgeon', 'consider', 'rapidly', 'change', 'environment.', 'Pre,', 'intra,', 'post-operative', 'detail', 'protective', 'measure', 'outlined.', 'These', 'guidance', 'recommendations', 'pandemic', 'surge', 'utilize', 'ALL', 'patients', 'local', 'COVID-19', 'disease', 'burden', 'remain', 'elevated.']"
DOI:10.1016/j.athoracsur.2020.04.007,2020-04-27T00:00:00.000Z,Adult Cardiac Surgery and the COVID-19 Pandemic: Aggressive Infection Mitigation Strategies are Necessary in the Operating Room and Surgical Recovery,"
               Abstract
               
                  The COVID-19 pandemic necessitates aggressive infection mitigation strategies to reduce the risk to patients and healthcare providers. This document is intended to provide a framework for the adult cardiac surgeon to consider in this rapidly changing environment. Pre, intra, and post-operative detailed protective measures are outlined. These are guidance recommendations during a pandemic surge to be utilized for ALL patients while local COVID-19 disease burden remains elevated.
               
            ",The Annals of Thoracic Surgery,Daniel T. Engelman,"{'author': [{'$': 'Daniel T. Engelman'}, {'$': 'Sylvain Lother'}, {'$': 'Isaac George'}, {'$': 'Duane J. Funk'}, {'$': 'Society of Thoracic Surgery COVID-19 Taskforce'}]}",https://api.elsevier.com/content/article/pii/S0003497520305877,10.1016/j.athoracsur.2020.04.007,Private,S0003497520305877,"['Adult', 'Cardiac', 'Surgery', 'COVID-19', 'Pandemic:', 'Aggressive', 'Infection', 'Mitigation', 'Strategies', 'Necessary', 'Operating', 'Room', 'Surgical', 'Recovery']","['Abstract', 'The', 'COVID-19', 'pandemic', 'necessitate', 'aggressive', 'infection', 'mitigation', 'strategies', 'reduce', 'risk', 'patients', 'healthcare', 'providers.', 'This', 'document', 'intend', 'provide', 'framework', 'adult', 'cardiac', 'surgeon', 'consider', 'rapidly', 'change', 'environment.', 'Pre,', 'intra,', 'post-operative', 'detail', 'protective', 'measure', 'outlined.', 'These', 'guidance', 'recommendations', 'pandemic', 'surge', 'utilize', 'ALL', 'patients', 'local', 'COVID-19', 'disease', 'burden', 'remain', 'elevated.']"
DOI:10.1016/j.thromres.2020.04.024,2020-04-23T00:00:00.000Z,"Venous and arterial thromboembolic complications in COVID-19 patients admitted to an academic hospital in Milan, Italy","
               Abstract
               
                  Background
                  Few data are available on the rate and characteristics of thromboembolic complications in hospitalized patients with COVID-19.
               
               
                  Methods
                  We studied consecutive symptomatic patients with laboratory-proven COVID-19 admitted to a university hospital in Milan, Italy (13.02.2020–10.04.2020). The primary outcome was any thromboembolic complication, including venous thromboembolism (VTE), ischemic stroke, and acute coronary syndrome (ACS)/myocardial infarction (MI). Secondary outcome was overt disseminated intravascular coagulation (DIC).
               
               
                  Results
                  We included 388 patients (median age 66 years, 68% men, 16% requiring intensive care [ICU]). Thromboprophylaxis was used in 100% of ICU patients and 75% of those on the general ward. Thromboembolic events occurred in 28 (7.7% of closed cases; 95%CI 5.4%–11.0%), corresponding to a cumulative rate of 21% (27.6% ICU, 6.6% general ward). Half of the thromboembolic events were diagnosed within 24 h of hospital admission. Forty-four patients underwent VTE imaging tests and VTE was confirmed in 16 (36%). Computed tomography pulmonary angiography (CTPA) was performed in 30 patients, corresponding to 7.7% of total, and pulmonary embolism was confirmed in 10 (33% of CTPA). The rate of ischemic stroke and ACS/MI was 2.5% and 1.1%, respectively. Overt DIC was present in 8 (2.2%) patients.
               
               
                  Conclusions
                  The high number of arterial and, in particular, venous thromboembolic events diagnosed within 24 h of admission and the high rate of positive VTE imaging tests among the few COVID-19 patients tested suggest that there is an urgent need to improve specific VTE diagnostic strategies and investigate the efficacy and safety of thromboprophylaxis in ambulatory COVID-19 patients.
               
            ",Thrombosis Research,Corrado Lodigiani,"{'author': [{'$': 'Corrado Lodigiani'}, {'$': 'Giacomo Iapichino'}, {'$': 'Luca Carenzo'}, {'$': 'Maurizio Cecconi'}, {'$': 'Humanitas COVID-19 Task Force'}]}",https://api.elsevier.com/content/article/pii/S0049384820301407,10.1016/j.thromres.2020.04.024,Private,S0049384820301407,"['Venous', 'arterial', 'thromboembolic', 'complications', 'COVID-19', 'patients', 'admit', 'academic', 'hospital', 'Milan,', 'Italy']","['Abstract', 'Background', 'Few', 'data', 'available', 'rate', 'characteristics', 'thromboembolic', 'complications', 'hospitalize', 'patients', 'COVID-19.', 'Methods', 'We', 'study', 'consecutive', 'symptomatic', 'patients', 'laboratory-proven', 'COVID-19', 'admit', 'university', 'hospital', 'Milan,', 'Italy', '(13.02.2020–10.04.2020).', 'The', 'primary', 'outcome', 'thromboembolic', 'complication,', 'include', 'venous', 'thromboembolism', '(VTE),', 'ischemic', 'stroke,', 'acute', 'coronary', 'syndrome', '(ACS)/myocardial', 'infarction', '(MI).', 'Secondary', 'outcome', 'overt', 'disseminate', 'intravascular', 'coagulation', '(DIC).', 'Results', 'We', 'include', '388', 'patients', '(median', 'age', '66', 'years,', '68%', 'men,', '16%', 'require', 'intensive', 'care', '[ICU]).', 'Thromboprophylaxis', 'use', '100%', 'ICU', 'patients', '75%', 'general', 'ward.', 'Thromboembolic', 'events', 'occur', '28', '(7.7%', 'close', 'cases;', '95%CI', '5.4%–11.0%),', 'correspond', 'cumulative', 'rate', '21%', '(27.6%', 'ICU,', '6.6%', 'general', 'ward).', 'Half', 'thromboembolic', 'events', 'diagnose', 'within', '24', 'h', 'hospital', 'admission.', 'Forty-four', 'patients', 'undergo', 'VTE', 'image', 'test', 'VTE', 'confirm', '16', '(36%).', 'Computed', 'tomography', 'pulmonary', 'angiography', '(CTPA)', 'perform', '30', 'patients,', 'correspond', '7.7%', 'total,', 'pulmonary', 'embolism', 'confirm', '10', '(33%', 'CTPA).', 'The', 'rate', 'ischemic', 'stroke', 'ACS/MI', '2.5%', '1.1%,', 'respectively.', 'Overt', 'DIC', 'present', '8', '(2.2%)', 'patients.', 'Conclusions', 'The', 'high', 'number', 'arterial', 'and,', 'particular,', 'venous', 'thromboembolic', 'events', 'diagnose', 'within', '24', 'h', 'admission', 'high', 'rate', 'positive', 'VTE', 'image', 'test', 'among', 'COVID-19', 'patients', 'test', 'suggest', 'urgent', 'need', 'improve', 'specific', 'VTE', 'diagnostic', 'strategies', 'investigate', 'efficacy', 'safety', 'thromboprophylaxis', 'ambulatory', 'COVID-19', 'patients.']"
DOI:10.1016/j.ekir.2020.04.001,2020-04-04T00:00:00.000Z,"Management of Patients on Dialysis and With Kidney Transplantation During the SARS-CoV-2 (COVID-19) Pandemic in Brescia, Italy","The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), also known as coronavirus disease (COVID-19), is a major pandemic challenging health care systems around the world. The optimal management of patients infected with COVID-19 is still unclear, although the consensus is moving toward the need of a biphasic approach. During the first phase of the disease (from onset of the symptoms up to 7–10 days) viral-induced effects are prominent, with the opportunity to institute antiviral therapy. In the second inflammatory phase of the disease, immunosuppressive strategies (for example with glucocorticoids or anticytokine drugs) may be considered. This latter stage is characterized by the development of progressive lung involvement with increasing oxygen requirements and occasionally signs of the hemophagocytic syndrome. The management of the disease in patients with kidney disease is even more challenging, especially in those who are immunosuppressed or with severe comorbidities. Here we present the therapeutic approach used in Brescia (Italy) for managing patients infected with COVID-19 who underwent kidney transplantation and are receiving hemodialysis. Furthermore, we provide some clinical and physiopathological background, as well as preliminary outcome data of our cohort, to better clarify the pathogenesis of the disease and clinical management.",Kidney International Reports,Federico Alberici,"{'author': [{'$': 'Federico Alberici'}, {'$': 'Elisa Delbarba'}, {'$': 'Chiara Manenti'}, {'$': 'Laura Econimo'}, {'$': 'Brescia Renal COVID Task Force'}]}",https://api.elsevier.com/content/article/pii/S2468024920311700,10.1016/j.ekir.2020.04.001,Open,S2468024920311700,"['Management', 'Patients', 'Dialysis', 'With', 'Kidney', 'Transplantation', 'During', 'SARS-CoV-2', '(COVID-19)', 'Pandemic', 'Brescia,', 'Italy']","['The', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(SARS-CoV-2),', 'also', 'know', 'coronavirus', 'disease', '(COVID-19),', 'major', 'pandemic', 'challenge', 'health', 'care', 'systems', 'around', 'world.', 'The', 'optimal', 'management', 'patients', 'infect', 'COVID-19', 'still', 'unclear,', 'although', 'consensus', 'move', 'toward', 'need', 'biphasic', 'approach.', 'During', 'first', 'phase', 'disease', '(from', 'onset', 'symptoms', '7–10', 'days)', 'viral-induced', 'effect', 'prominent,', 'opportunity', 'institute', 'antiviral', 'therapy.', 'In', 'second', 'inflammatory', 'phase', 'disease,', 'immunosuppressive', 'strategies', '(for', 'example', 'glucocorticoids', 'anticytokine', 'drugs)', 'may', 'considered.', 'This', 'latter', 'stage', 'characterize', 'development', 'progressive', 'lung', 'involvement', 'increase', 'oxygen', 'requirements', 'occasionally', 'sign', 'hemophagocytic', 'syndrome.', 'The', 'management', 'disease', 'patients', 'kidney', 'disease', 'even', 'challenging,', 'especially', 'immunosuppressed', 'severe', 'comorbidities.', 'Here', 'present', 'therapeutic', 'approach', 'use', 'Brescia', '(Italy)', 'manage', 'patients', 'infect', 'COVID-19', 'undergo', 'kidney', 'transplantation', 'receive', 'hemodialysis.', 'Furthermore,', 'provide', 'clinical', 'physiopathological', 'background,', 'well', 'preliminary', 'outcome', 'data', 'cohort,', 'better', 'clarify', 'pathogenesis', 'disease', 'clinical', 'management.']"
DOI:10.1016/j.jaci.2020.04.029,2020-04-29T00:00:00.000Z,Type I IFN immunoprofiling in COVID-19 patients,,Journal of Allergy and Clinical Immunology,Sophie Trouillet-Assant,"{'author': [{'$': 'Sophie Trouillet-Assant'}, {'$': 'Sebastien Viel'}, {'$': 'Alexandre Gaymard'}, {'$': 'Sylvie Pons'}, {'$': 'COVID HCL Study group'}]}",https://api.elsevier.com/content/article/pii/S0091674920305789,10.1016/j.jaci.2020.04.029,Open,S0091674920305789,"['Type', 'I', 'IFN', 'immunoprofiling', 'COVID-19', 'patients']",N/A
DOI:10.1016/j.therap.2020.04.004,2020-04-23T00:00:00.000Z,THERAP–COVID-19,"
               Summary
               
                  According to previous reports, diabetes seems to be associated with serious clinical events due to COVID-19. But is diabetes per se a risk factor of being infected by the virus? We discuss these points. Data about the antidiabetic drugs are scarce. Dipeptidylpeptidase-4 (DPP-4) is found as both a cell surface protein ubiquitously expressed in many tissues and as a soluble molecule found in serum/plasma, fluids. DPP-4 is involved in infection of cells by some viruses. We relate data about the use of DPP-4 inhibitors in diabetic patients. We conclude relating French and international recommendations in people with diabetes.
               
            ",Therapies,Béatrice Bouhanick,"{'author': [{'$': 'Béatrice Bouhanick'}, {'$': 'Jean-Luc Cracowski'}, {'$': 'Jean-Luc Faillie'}, {'$': 'au nom du groupe de travail “médicaments et COVID-19” de la “Société Française de Pharmacologie et Thérapeutique”'}]}",https://api.elsevier.com/content/article/pii/S0040595720300688,10.1016/j.therap.2020.04.004,Private,S0040595720300688,['THERAP–COVID-19'],"['Summary', 'According', 'previous', 'reports,', 'diabetes', 'seem', 'associate', 'serious', 'clinical', 'events', 'due', 'COVID-19.', 'But', 'diabetes', 'per', 'se', 'risk', 'factor', 'infect', 'virus?', 'We', 'discuss', 'points.', 'Data', 'antidiabetic', 'drug', 'scarce.', 'Dipeptidylpeptidase-4', '(DPP-4)', 'find', 'cell', 'surface', 'protein', 'ubiquitously', 'express', 'many', 'tissue', 'soluble', 'molecule', 'find', 'serum/plasma,', 'fluids.', 'DPP-4', 'involve', 'infection', 'cells', 'viruses.', 'We', 'relate', 'data', 'use', 'DPP-4', 'inhibitors', 'diabetic', 'patients.', 'We', 'conclude', 'relate', 'French', 'international', 'recommendations', 'people', 'diabetes.']"
