Title,Link,Abstract,PublishedDate,MoreInfoLink,lemmas_title,lemmas_abstract
Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"EMA, the European Commission and the Heads of Medicines Agencies updated the Guidance on the management of clinical trials during the COVID-19 (coronavirus) pandemic. The updated guidance includes more recommendations on simple and flexible measures sponsors can take to manage clinical trials during the COVID-19 pandemic, given the impact it is having on European health systems and society in general.",28 April,European Commission: Coronavirus: Commission issues guidance to mitigate clinical trial disruption in the EU (28/04/2020),"['Guidance', 'medicine', 'developers', 'company', 'COVID-19']","['EMA,', 'European', 'Commission', 'Heads', 'Medicines', 'Agencies', 'update', 'Guidance', 'management', 'clinical', 'trials', 'COVID-19', '(coronavirus)', 'pandemic.', 'The', 'update', 'guidance', 'include', 'recommendations', 'simple', 'flexible', 'measure', 'sponsor', 'take', 'manage', 'clinical', 'trials', 'COVID-19', 'pandemic,', 'give', 'impact', 'European', 'health', 'systems', 'society', 'general.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,"EMA endorsed a joint statement by the members of the International Coalition of Medicines Regulatory Authorities (ICMRA). The statement commits the international regulators to strengthen global collaboration to facilitate rapid development, approval and roll-out of safe and effective medicines against COVID-19.",28 April,International regulators pledge collective support to combat COVID-19 pandemic (28/04/2020),"['International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA)']","['EMA', 'endorse', 'joint', 'statement', 'members', 'International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA).', 'The', 'statement', 'commit', 'international', 'regulators', 'strengthen', 'global', 'collaboration', 'facilitate', 'rapid', 'development,', 'approval', 'roll-out', 'safe', 'effective', 'medicine', 'COVID-19.']"
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"EMA provided an update on the measures EU authorities are putting in place to support the continued availability of medicines during the pandemic, following a meeting of the EU Executive Steering Group on Shortages of Medicines Caused by Major Events.",24 April,EU actions to support availability of medicines during COVID-19 pandemic – update #3 (24/04/2020),"['Availability', 'medicine', 'COVID-19', 'pandemic']","['EMA', 'provide', 'update', 'measure', 'EU', 'authorities', 'put', 'place', 'support', 'continue', 'availability', 'medicine', 'pandemic,', 'follow', 'meet', 'EU', 'Executive', 'Steering', 'Group', 'Shortages', 'Medicines', 'Caused', 'Major', 'Events.']"
Public-health advice during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/public-health-advice-during-covid-19-pandemic,"EMA and the national competent authorities reminded patients with suspected or confirmed COVID-19 to report any suspected side effects that they are experiencing with any medicine, including medicines taken to treat COVID-19 and pre-existing conditions. Healthcare professionals treating COVID-19 patients should also report the suspected side effects that their patients are experiencing. These reports help regulators understand how medicines act in patients with COVID-19, complementing the knowledge generated in clinical trials and other studies.",24 April,Reporting suspected side effects of medicines in patients with COVID-19 (24/04/2020),"['Public-health', 'advice', 'COVID-19', 'pandemic']","['EMA', 'national', 'competent', 'authorities', 'remind', 'patients', 'suspect', 'confirm', 'COVID-19', 'report', 'suspect', 'side', 'effect', 'experience', 'medicine,', 'include', 'medicine', 'take', 'treat', 'COVID-19', 'pre-existing', 'conditions.', 'Healthcare', 'professionals', 'treat', 'COVID-19', 'patients', 'also', 'report', 'suspect', 'side', 'effect', 'patients', 'experiencing.', 'These', 'report', 'help', 'regulators', 'understand', 'medicine', 'act', 'patients', 'COVID-19,', 'complement', 'knowledge', 'generate', 'clinical', 'trials', 'studies.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,EMA announced that essential work to combat the COVID-19 pandemic would continue during the Agency’s closure on 27 April and on 1 May 2020.,23 April,Essential work to combat the COVID-19 pandemic to continue during EMA's closure on 27 April and on 1 May 2020 (23/04/2020),"['EMA’s', 'governance', 'COVID-19', 'pandemic']","['EMA', 'announce', 'essential', 'work', 'combat', 'COVID-19', 'pandemic', 'would', 'continue', 'Agency’s', 'closure', '27', 'April', '1', 'May', '2020.']"
Public-health advice during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/public-health-advice-during-covid-19-pandemic,"EMA reminded patients and healthcare professionals that chloroquine and hydroxychloroquine medicines are known to potentially cause certain side effects, including heart rhythm problems. Healthcare professionals should carefully consider the possibility of heart rhythm problems when treating COVID-19 patients with these medicines, particularly in patients with pre-existing heart problems and with higher doses, and exercise extra caution when combining treatment with other medicines such as azithromycin that have similar effects on the heart.",23 April,COVID-19: reminder of risk of serious side effects with chloroquine and hydroxychloroquine (23/04/2020),"['Public-health', 'advice', 'COVID-19', 'pandemic']","['EMA', 'remind', 'patients', 'healthcare', 'professionals', 'chloroquine', 'hydroxychloroquine', 'medicine', 'know', 'potentially', 'cause', 'certain', 'side', 'effects,', 'include', 'heart', 'rhythm', 'problems.', 'Healthcare', 'professionals', 'carefully', 'consider', 'possibility', 'heart', 'rhythm', 'problems', 'treat', 'COVID-19', 'patients', 'medicines,', 'particularly', 'patients', 'pre-existing', 'heart', 'problems', 'higher', 'doses,', 'exercise', 'extra', 'caution', 'combine', 'treatment', 'medicine', 'azithromycin', 'similar', 'effect', 'heart.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,"EMA participated in the global regulators’ meeting on COVID-19-related policy approaches and regulatory flexibility on Thursday, 16 April, under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA). Participants discussed high-level policy issues and regulatory challenges related to the rapid development of potential COVID-19 treatments and vaccines and the continued availability of medicines during the pandemic, in particular those used in intensive care. The meeting was the first of a series of bi-weekly meetings organised by ICMRA to allow medicine regulators worldwide to exchange information and build synergies for expediting COVID-19 medicine and vaccine development and approval and avoiding medicine shortages. EMA will chair every other meeting.",21 April, ,"['International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA)']","['EMA', 'participate', 'global', 'regulators’', 'meet', 'COVID-19-related', 'policy', 'approach', 'regulatory', 'flexibility', 'Thursday,', '16', 'April,', 'umbrella', 'International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA).', 'Participants', 'discuss', 'high-level', 'policy', 'issue', 'regulatory', 'challenge', 'relate', 'rapid', 'development', 'potential', 'COVID-19', 'treatments', 'vaccines', 'continue', 'availability', 'medicine', 'pandemic,', 'particular', 'use', 'intensive', 'care.', 'The', 'meet', 'first', 'series', 'bi-weekly', 'meet', 'organise', 'ICMRA', 'allow', 'medicine', 'regulators', 'worldwide', 'exchange', 'information', 'build', 'synergies', 'expedite', 'COVID-19', 'medicine', 'vaccine', 'development', 'approval', 'avoid', 'medicine', 'shortages.', 'EMA', 'chair', 'every', 'meeting.']"
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"EMA announced that it had launched, together with EU Member States and the pharmaceutical industry, an enhanced fast-track monitoring system to help prevent and mitigate supply issues with crucial medicines used for treating COVID-19 patients. Initially, the system will focus on medicines used in intensive care, which are in greatest demand, before extending to a broader range of medicines. The monitoring system, which involves each pharmaceutical company appointing an industry single point of contact (iSPOC), was set up by the EU Executive Steering Group on Shortages of Medicines Caused by Major Events in cooperation with pharmaceutical companies in the EU.",21 April,Launch of enhanced monitoring system for availability of medicines used for treating COVID-19 (21/04/2020),"['Availability', 'medicine', 'COVID-19', 'pandemic']","['EMA', 'announce', 'launched,', 'together', 'EU', 'Member', 'States', 'pharmaceutical', 'industry,', 'enhance', 'fast-track', 'monitor', 'system', 'help', 'prevent', 'mitigate', 'supply', 'issue', 'crucial', 'medicine', 'use', 'treat', 'COVID-19', 'patients.', 'Initially,', 'system', 'focus', 'medicine', 'use', 'intensive', 'care,', 'greatest', 'demand,', 'extend', 'broader', 'range', 'medicines.', 'The', 'monitor', 'system,', 'involve', 'pharmaceutical', 'company', 'appoint', 'industry', 'single', 'point', 'contact', '(iSPOC),', 'set', 'EU', 'Executive', 'Steering', 'Group', 'Shortages', 'Medicines', 'Caused', 'Major', 'Events', 'cooperation', 'pharmaceutical', 'company', 'EU.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,EMA decided to continue holding its committee and working-party meetings virtually until the end of May 2020. Stakeholder events planned for May will either be postponed or held virtually. Most EMA staff are also continuing to work remotely until the end of May.,21 April, ,"['EMA’s', 'governance', 'COVID-19', 'pandemic']","['EMA', 'decide', 'continue', 'hold', 'committee', 'working-party', 'meet', 'virtually', 'end', 'May', '2020.', 'Stakeholder', 'events', 'plan', 'May', 'either', 'postpone', 'hold', 'virtually.', 'Most', 'EMA', 'staff', 'also', 'continue', 'work', 'remotely', 'end', 'May.']"
Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"The European Commission, EMA and the Heads of Medicine Agencies updated their guidance for pharmaceutical companies on adaptations to the regulatory framework to address COVID-19 challenges to cover good manufacturing practice (GMP) and good distribution practice (GDP) inspections, and the submission of individual case safety reports (ICSRs) to EudraVigilance. EMA published 


additional guidance for qualified persons for pharmcovigilance (QPPV) and marketing authorisation holders

 on how to submit COVID-19-related ICSRs to EudraVigilance, including on the use of the correct Medical Dictionary for Regulatory Activities (MedDRA) terms and free-text fields.",20 April,Update to guidance on regulatory expectations in the context of COVID-19 pandemic (20/04/2020),"['Guidance', 'medicine', 'developers', 'company', 'COVID-19']","['The', 'European', 'Commission,', 'EMA', 'Heads', 'Medicine', 'Agencies', 'update', 'guidance', 'pharmaceutical', 'company', 'adaptations', 'regulatory', 'framework', 'address', 'COVID-19', 'challenge', 'cover', 'good', 'manufacture', 'practice', '(GMP)', 'good', 'distribution', 'practice', '(GDP)', 'inspections,', 'submission', 'individual', 'case', 'safety', 'report', '(ICSRs)', 'EudraVigilance.', 'EMA', 'publish', 'additional', 'guidance', 'qualify', 'persons', 'pharmcovigilance', '(QPPV)', 'market', 'authorisation', 'holders', 'submit', 'COVID-19-related', 'ICSRs', 'EudraVigilance,', 'include', 'use', 'correct', 'Medical', 'Dictionary', 'Regulatory', 'Activities', '(MedDRA)', 'term', 'free-text', 'fields.']"
