Title,Link,Abstract,PublishedDate,MoreInfoLink,title_words,abstract_words,abstract_sentences
Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"EMA, the European Commission and the Heads of Medicines Agencies updated the Guidance on the management of clinical trials during the COVID-19 (coronavirus) pandemic. The updated guidance includes more recommendations on simple and flexible measures sponsors can take to manage clinical trials during the COVID-19 pandemic, given the impact it is having on European health systems and society in general.",28 April,European Commission: Coronavirus: Commission issues guidance to mitigate clinical trial disruption in the EU (28/04/2020),"['Guidance', 'for', 'medicine', 'developer', 'and', 'company', 'on', 'COVID-19']","['EMA', ',', 'the', 'European', 'Commission', 'and', 'the', 'Heads', 'of', 'Medicines', 'Agencies', 'update', 'the', 'Guidance', 'on', 'the', 'management', 'of', 'clinical', 'trial', 'during', 'the', 'COVID-19', '(', 'coronavirus', ')', 'pandemic', '.', 'The', 'update', 'guidance', 'include', 'more', 'recommendation', 'on', 'simple', 'and', 'flexible', 'measure', 'sponsor', 'can', 'take', 'to', 'manage', 'clinical', 'trial', 'during', 'the', 'COVID-19', 'pandemic', ',', 'give', 'the', 'impact', 'it', 'be', 'have', 'on', 'European', 'health', 'system', 'and', 'society', 'in', 'general', '.']","['EMA, the European Commission and the Heads of Medicines Agencies updated the Guidance on the management of clinical trials during the COVID-19 (coronavirus) pandemic.', 'The updated guidance includes more recommendations on simple and flexible measures sponsors can take to manage clinical trials during the COVID-19 pandemic, given the impact it is having on European health systems and society in general.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,"EMA endorsed a joint statement by the members of the International Coalition of Medicines Regulatory Authorities (ICMRA). The statement commits the international regulators to strengthen global collaboration to facilitate rapid development, approval and roll-out of safe and effective medicines against COVID-19.",28 April,International regulators pledge collective support to combat COVID-19 pandemic (28/04/2020),"['International', 'Coalition', 'of', 'Medicines', 'Regulatory', 'Authorities', '(', 'ICMRA', ')']","['EMA', 'endorse', 'a', 'joint', 'statement', 'by', 'the', 'member', 'of', 'the', 'International', 'Coalition', 'of', 'Medicines', 'Regulatory', 'Authorities', '(', 'ICMRA', ')', '.', 'The', 'statement', 'commit', 'the', 'international', 'regulator', 'to', 'strengthen', 'global', 'collaboration', 'to', 'facilitate', 'rapid', 'development', ',', 'approval', 'and', 'roll-out', 'of', 'safe', 'and', 'effective', 'medicine', 'against', 'COVID-19', '.']","['EMA endorsed a joint statement by the members of the International Coalition of Medicines Regulatory Authorities (ICMRA).', 'The statement commits the international regulators to strengthen global collaboration to facilitate rapid development, approval and roll-out of safe and effective medicines against COVID-19.']"
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"EMA provided an update on the measures EU authorities are putting in place to support the continued availability of medicines during the pandemic, following a meeting of the EU Executive Steering Group on Shortages of Medicines Caused by Major Events.",24 April,EU actions to support availability of medicines during COVID-19 pandemic – update #3 (24/04/2020),"['Availability', 'of', 'medicine', 'during', 'COVID-19', 'pandemic']","['EMA', 'provide', 'an', 'update', 'on', 'the', 'measure', 'EU', 'authority', 'be', 'put', 'in', 'place', 'to', 'support', 'the', 'continue', 'availability', 'of', 'medicine', 'during', 'the', 'pandemic', ',', 'follow', 'a', 'meet', 'of', 'the', 'EU', 'Executive', 'Steering', 'Group', 'on', 'Shortages', 'of', 'Medicines', 'Caused', 'by', 'Major', 'Events', '.']","['EMA provided an update on the measures EU authorities are putting in place to support the continued availability of medicines during the pandemic, following a meeting of the EU Executive Steering Group on Shortages of Medicines Caused by Major Events.']"
Public-health advice during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/public-health-advice-during-covid-19-pandemic,"EMA and the national competent authorities reminded patients with suspected or confirmed COVID-19 to report any suspected side effects that they are experiencing with any medicine, including medicines taken to treat COVID-19 and pre-existing conditions. Healthcare professionals treating COVID-19 patients should also report the suspected side effects that their patients are experiencing. These reports help regulators understand how medicines act in patients with COVID-19, complementing the knowledge generated in clinical trials and other studies.",24 April,Reporting suspected side effects of medicines in patients with COVID-19 (24/04/2020),"['Public-health', 'advice', 'during', 'COVID-19', 'pandemic']","['EMA', 'and', 'the', 'national', 'competent', 'authority', 'remind', 'patient', 'with', 'suspect', 'or', 'confirm', 'COVID-19', 'to', 'report', 'any', 'suspect', 'side', 'effect', 'that', 'they', 'be', 'experience', 'with', 'any', 'medicine', ',', 'include', 'medicine', 'take', 'to', 'treat', 'COVID-19', 'and', 'pre-existing', 'condition', '.', 'Healthcare', 'professional', 'treat', 'COVID-19', 'patient', 'should', 'also', 'report', 'the', 'suspect', 'side', 'effect', 'that', 'their', 'patient', 'be', 'experience', '.', 'These', 'report', 'help', 'regulator', 'understand', 'how', 'medicine', 'act', 'in', 'patient', 'with', 'COVID-19', ',', 'complement', 'the', 'knowledge', 'generate', 'in', 'clinical', 'trial', 'and', 'other', 'study', '.']","['EMA and the national competent authorities reminded patients with suspected or confirmed COVID-19 to report any suspected side effects that they are experiencing with any medicine, including medicines taken to treat COVID-19 and pre-existing conditions.', 'Healthcare professionals treating COVID-19 patients should also report the suspected side effects that their patients are experiencing.', 'These reports help regulators understand how medicines act in patients with COVID-19, complementing the knowledge generated in clinical trials and other studies.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,EMA announced that essential work to combat the COVID-19 pandemic would continue during the Agency’s closure on 27 April and on 1 May 2020.,23 April,Essential work to combat the COVID-19 pandemic to continue during EMA's closure on 27 April and on 1 May 2020 (23/04/2020),"['EMA', '’', 's', 'governance', 'during', 'COVID-19', 'pandemic']","['EMA', 'announce', 'that', 'essential', 'work', 'to', 'combat', 'the', 'COVID-19', 'pandemic', 'would', 'continue', 'during', 'the', 'Agency', '’', 's', 'closure', 'on', '27', 'April', 'and', 'on', '1', 'May', '2020', '.']",['EMA announced that essential work to combat the COVID-19 pandemic would continue during the Agency’s closure on 27 April and on 1 May 2020.']
Public-health advice during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/public-health-advice-during-covid-19-pandemic,"EMA reminded patients and healthcare professionals that chloroquine and hydroxychloroquine medicines are known to potentially cause certain side effects, including heart rhythm problems. Healthcare professionals should carefully consider the possibility of heart rhythm problems when treating COVID-19 patients with these medicines, particularly in patients with pre-existing heart problems and with higher doses, and exercise extra caution when combining treatment with other medicines such as azithromycin that have similar effects on the heart.",23 April,COVID-19: reminder of risk of serious side effects with chloroquine and hydroxychloroquine (23/04/2020),"['Public-health', 'advice', 'during', 'COVID-19', 'pandemic']","['EMA', 'remind', 'patient', 'and', 'healthcare', 'professional', 'that', 'chloroquine', 'and', 'hydroxychloroquine', 'medicine', 'be', 'know', 'to', 'potentially', 'cause', 'certain', 'side', 'effect', ',', 'include', 'heart', 'rhythm', 'problem', '.', 'Healthcare', 'professional', 'should', 'carefully', 'consider', 'the', 'possibility', 'of', 'heart', 'rhythm', 'problem', 'when', 'treat', 'COVID-19', 'patient', 'with', 'these', 'medicine', ',', 'particularly', 'in', 'patient', 'with', 'pre-existing', 'heart', 'problem', 'and', 'with', 'higher', 'do', ',', 'and', 'exercise', 'extra', 'caution', 'when', 'combine', 'treatment', 'with', 'other', 'medicine', 'such', 'a', 'azithromycin', 'that', 'have', 'similar', 'effect', 'on', 'the', 'heart', '.']","['EMA reminded patients and healthcare professionals that chloroquine and hydroxychloroquine medicines are known to potentially cause certain side effects, including heart rhythm problems.', 'Healthcare professionals should carefully consider the possibility of heart rhythm problems when treating COVID-19 patients with these medicines, particularly in patients with pre-existing heart problems and with higher doses, and exercise extra caution when combining treatment with other medicines such as azithromycin that have similar effects on the heart.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,"EMA participated in the global regulators’ meeting on COVID-19-related policy approaches and regulatory flexibility on Thursday, 16 April, under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA). Participants discussed high-level policy issues and regulatory challenges related to the rapid development of potential COVID-19 treatments and vaccines and the continued availability of medicines during the pandemic, in particular those used in intensive care. The meeting was the first of a series of bi-weekly meetings organised by ICMRA to allow medicine regulators worldwide to exchange information and build synergies for expediting COVID-19 medicine and vaccine development and approval and avoiding medicine shortages. EMA will chair every other meeting.",21 April, ,"['International', 'Coalition', 'of', 'Medicines', 'Regulatory', 'Authorities', '(', 'ICMRA', ')']","['EMA', 'participate', 'in', 'the', 'global', 'regulator', '’', 'meet', 'on', 'COVID-19-related', 'policy', 'approach', 'and', 'regulatory', 'flexibility', 'on', 'Thursday', ',', '16', 'April', ',', 'under', 'the', 'umbrella', 'of', 'the', 'International', 'Coalition', 'of', 'Medicines', 'Regulatory', 'Authorities', '(', 'ICMRA', ')', '.', 'Participants', 'discuss', 'high-level', 'policy', 'issue', 'and', 'regulatory', 'challenge', 'relate', 'to', 'the', 'rapid', 'development', 'of', 'potential', 'COVID-19', 'treatment', 'and', 'vaccine', 'and', 'the', 'continue', 'availability', 'of', 'medicine', 'during', 'the', 'pandemic', ',', 'in', 'particular', 'those', 'use', 'in', 'intensive', 'care', '.', 'The', 'meet', 'wa', 'the', 'first', 'of', 'a', 'series', 'of', 'bi-weekly', 'meet', 'organise', 'by', 'ICMRA', 'to', 'allow', 'medicine', 'regulator', 'worldwide', 'to', 'exchange', 'information', 'and', 'build', 'synergy', 'for', 'expedite', 'COVID-19', 'medicine', 'and', 'vaccine', 'development', 'and', 'approval', 'and', 'avoid', 'medicine', 'shortage', '.', 'EMA', 'will', 'chair', 'every', 'other', 'meet', '.']","['EMA participated in the global regulators’ meeting on COVID-19-related policy approaches and regulatory flexibility on Thursday, 16 April, under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA).', 'Participants discussed high-level policy issues and regulatory challenges related to the rapid development of potential COVID-19 treatments and vaccines and the continued availability of medicines during the pandemic, in particular those used in intensive care.', 'The meeting was the first of a series of bi-weekly meetings organised by ICMRA to allow medicine regulators worldwide to exchange information and build synergies for expediting COVID-19 medicine and vaccine development and approval and avoiding medicine shortages.', 'EMA will chair every other meeting.']"
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"EMA announced that it had launched, together with EU Member States and the pharmaceutical industry, an enhanced fast-track monitoring system to help prevent and mitigate supply issues with crucial medicines used for treating COVID-19 patients. Initially, the system will focus on medicines used in intensive care, which are in greatest demand, before extending to a broader range of medicines. The monitoring system, which involves each pharmaceutical company appointing an industry single point of contact (iSPOC), was set up by the EU Executive Steering Group on Shortages of Medicines Caused by Major Events in cooperation with pharmaceutical companies in the EU.",21 April,Launch of enhanced monitoring system for availability of medicines used for treating COVID-19 (21/04/2020),"['Availability', 'of', 'medicine', 'during', 'COVID-19', 'pandemic']","['EMA', 'announce', 'that', 'it', 'have', 'launch', ',', 'together', 'with', 'EU', 'Member', 'States', 'and', 'the', 'pharmaceutical', 'industry', ',', 'an', 'enhance', 'fast-track', 'monitor', 'system', 'to', 'help', 'prevent', 'and', 'mitigate', 'supply', 'issue', 'with', 'crucial', 'medicine', 'use', 'for', 'treat', 'COVID-19', 'patient', '.', 'Initially', ',', 'the', 'system', 'will', 'focus', 'on', 'medicine', 'use', 'in', 'intensive', 'care', ',', 'which', 'be', 'in', 'greatest', 'demand', ',', 'before', 'extend', 'to', 'a', 'broader', 'range', 'of', 'medicine', '.', 'The', 'monitor', 'system', ',', 'which', 'involve', 'each', 'pharmaceutical', 'company', 'appoint', 'an', 'industry', 'single', 'point', 'of', 'contact', '(', 'iSPOC', ')', ',', 'wa', 'set', 'up', 'by', 'the', 'EU', 'Executive', 'Steering', 'Group', 'on', 'Shortages', 'of', 'Medicines', 'Caused', 'by', 'Major', 'Events', 'in', 'cooperation', 'with', 'pharmaceutical', 'company', 'in', 'the', 'EU', '.']","['EMA announced that it had launched, together with EU Member States and the pharmaceutical industry, an enhanced fast-track monitoring system to help prevent and mitigate supply issues with crucial medicines used for treating COVID-19 patients.', 'Initially, the system will focus on medicines used in intensive care, which are in greatest demand, before extending to a broader range of medicines.', 'The monitoring system, which involves each pharmaceutical company appointing an industry single point of contact (iSPOC), was set up by the EU Executive Steering Group on Shortages of Medicines Caused by Major Events in cooperation with pharmaceutical companies in the EU.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,EMA decided to continue holding its committee and working-party meetings virtually until the end of May 2020. Stakeholder events planned for May will either be postponed or held virtually. Most EMA staff are also continuing to work remotely until the end of May.,21 April, ,"['EMA', '’', 's', 'governance', 'during', 'COVID-19', 'pandemic']","['EMA', 'decide', 'to', 'continue', 'hold', 'it', 'committee', 'and', 'working-party', 'meet', 'virtually', 'until', 'the', 'end', 'of', 'May', '2020', '.', 'Stakeholder', 'event', 'plan', 'for', 'May', 'will', 'either', 'be', 'postpone', 'or', 'hold', 'virtually', '.', 'Most', 'EMA', 'staff', 'be', 'also', 'continue', 'to', 'work', 'remotely', 'until', 'the', 'end', 'of', 'May', '.']","['EMA decided to continue holding its committee and working-party meetings virtually until the end of May 2020.', 'Stakeholder events planned for May will either be postponed or held virtually.', 'Most EMA staff are also continuing to work remotely until the end of May.']"
Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"The European Commission, EMA and the Heads of Medicine Agencies updated their guidance for pharmaceutical companies on adaptations to the regulatory framework to address COVID-19 challenges to cover good manufacturing practice (GMP) and good distribution practice (GDP) inspections, and the submission of individual case safety reports (ICSRs) to EudraVigilance. EMA published 


additional guidance for qualified persons for pharmcovigilance (QPPV) and marketing authorisation holders

 on how to submit COVID-19-related ICSRs to EudraVigilance, including on the use of the correct Medical Dictionary for Regulatory Activities (MedDRA) terms and free-text fields.",20 April,Update to guidance on regulatory expectations in the context of COVID-19 pandemic (20/04/2020),"['Guidance', 'for', 'medicine', 'developer', 'and', 'company', 'on', 'COVID-19']","['The', 'European', 'Commission', ',', 'EMA', 'and', 'the', 'Heads', 'of', 'Medicine', 'Agencies', 'update', 'their', 'guidance', 'for', 'pharmaceutical', 'company', 'on', 'adaptation', 'to', 'the', 'regulatory', 'framework', 'to', 'address', 'COVID-19', 'challenge', 'to', 'cover', 'good', 'manufacture', 'practice', '(', 'GMP', ')', 'and', 'good', 'distribution', 'practice', '(', 'GDP', ')', 'inspection', ',', 'and', 'the', 'submission', 'of', 'individual', 'case', 'safety', 'report', '(', 'ICSRs', ')', 'to', 'EudraVigilance', '.', 'EMA', 'publish', 'additional', 'guidance', 'for', 'qualify', 'person', 'for', 'pharmcovigilance', '(', 'QPPV', ')', 'and', 'market', 'authorisation', 'holder', 'on', 'how', 'to', 'submit', 'COVID-19-related', 'ICSRs', 'to', 'EudraVigilance', ',', 'include', 'on', 'the', 'use', 'of', 'the', 'correct', 'Medical', 'Dictionary', 'for', 'Regulatory', 'Activities', '(', 'MedDRA', ')', 'term', 'and', 'free-text', 'field', '.']","['The European Commission, EMA and the Heads of Medicine Agencies updated their guidance for pharmaceutical companies on adaptations to the regulatory framework to address COVID-19 challenges to cover good manufacturing practice (GMP) and good distribution practice (GDP) inspections, and the submission of individual case safety reports (ICSRs) to EudraVigilance.', 'EMA published \n\n\nadditional guidance for qualified persons for pharmcovigilance (QPPV) and marketing authorisation holders\n\n on how to submit COVID-19-related ICSRs to EudraVigilance, including on the use of the correct Medical Dictionary for Regulatory Activities (MedDRA) terms and free-text fields.']"
