Type,Title,Link,Authors,Abstract,PublishedDate,Availability,lemmas_title,lemmas_abstract
Correspondence,Out-of-Hospital Cardiac Arrest and Covid-19,/doi/full/10.1056/NEJMc2010418?query=featured_coronavirus,E. Baldi and Others,"From February 21 through April 1, 2019, a total of 229 cases of out-of-hospital cardiac arrest were reported in four provinces of Lombardy, Italy. During the same period in 2020 (the first 40 days of the Covid-19 epidemic), 362 cases were reported — a 58% increase. Of the additional 133 cases in 2020, a total of 103 involved suspected or diagnosed Covid-19.",Apr 29,,"['Out-of-Hospital', 'Cardiac', 'Arrest', 'Covid-19']","['From', 'February', '21', 'April', '1,', '2019,', 'total', '229', 'case', 'out-of-hospital', 'cardiac', 'arrest', 'report', 'four', 'provinces', 'Lombardy,', 'Italy.', 'During', 'period', '2020', '(the', 'first', '40', 'days', 'Covid-19', 'epidemic),', '362', 'case', 'report', '—', '58%', 'increase.', 'Of', 'additional', '133', 'case', '2020,', 'total', '103', 'involve', 'suspect', 'diagnose', 'Covid-19.']"
Correspondence,ST-Segment Elevation in Covid-19,/doi/full/10.1056/NEJMc2009020?query=featured_coronavirus,S. Bangalore and Others,"Eighteen patients with Covid-19 presented with ST-segment elevation on ECG or had it develop during hospitalization. Eight patients received a diagnosis of acute myocardial infarction, and 10 had noncoronary myocardial injury. Thirteen patients died in the hospital.",Apr 17,,"['ST-Segment', 'Elevation', 'Covid-19']","['Eighteen', 'patients', 'Covid-19', 'present', 'ST-segment', 'elevation', 'ECG', 'develop', 'hospitalization.', 'Eight', 'patients', 'receive', 'diagnosis', 'acute', 'myocardial', 'infarction,', '10', 'noncoronary', 'myocardial', 'injury.', 'Thirteen', 'patients', 'die', 'hospital.']"
Special Report,RAAS Inhibitors in Patients with Covid-19,/doi/full/10.1056/NEJMsr2005760?query=featured_coronavirus,M. Vaduganathan and Others,The effects of renin–angiotensin–aldosterone system blockers on angiotensin-converting enzyme 2 levels and activity in humans are uncertain. The authors hypothesize that ACE2 may be beneficial rather than harmful during lung injury and suggest that RAAS-inhibitor withdrawal may be harmful in some high-risk patients with known or suspected Covid-19.,Apr 23,,"['RAAS', 'Inhibitors', 'Patients', 'Covid-19']","['The', 'effect', 'renin–angiotensin–aldosterone', 'system', 'blockers', 'angiotensin-converting', 'enzyme', '2', 'level', 'activity', 'humans', 'uncertain.', 'The', 'author', 'hypothesize', 'ACE2', 'may', 'beneficial', 'rather', 'harmful', 'lung', 'injury', 'suggest', 'RAAS-inhibitor', 'withdrawal', 'may', 'harmful', 'high-risk', 'patients', 'know', 'suspect', 'Covid-19.']"
Correspondence,Covid-19 in Immune-Mediated Inflammatory Diseases,/doi/full/10.1056/NEJMc2009567?query=featured_coronavirus,R. Haberman and Others,"The authors describe patients in New York City with known immune-mediated inflammatory disease in whom Covid-19 developed while they were receiving biologics, other immunomodulatory therapies, or both. The incidence of hospitalization among these patients was consistent with that among patients with Covid-19 in the general population in New York City.",Apr 29,,"['Covid-19', 'Immune-Mediated', 'Inflammatory', 'Diseases']","['The', 'author', 'describe', 'patients', 'New', 'York', 'City', 'know', 'immune-mediated', 'inflammatory', 'disease', 'Covid-19', 'develop', 'receive', 'biologics,', 'immunomodulatory', 'therapies,', 'both.', 'The', 'incidence', 'hospitalization', 'among', 'patients', 'consistent', 'among', 'patients', 'Covid-19', 'general', 'population', 'New', 'York', 'City.']"
Correspondence,Cancer Management in India during Covid-19,/doi/full/10.1056/NEJMc2011595?query=featured_coronavirus,C.S. Pramesh and R.A. Badwe,"India’s largest cancer center adopts a proactive, multipronged approach to providing treatment, while facing the reality that some services must be scaled back during a nationwide lockdown. Prioritization criteria guide treatment decisions.",Apr 28,,"['Cancer', 'Management', 'India', 'Covid-19']","['India’s', 'largest', 'cancer', 'center', 'adopt', 'proactive,', 'multipronged', 'approach', 'provide', 'treatment,', 'face', 'reality', 'service', 'must', 'scale', 'back', 'nationwide', 'lockdown.', 'Prioritization', 'criteria', 'guide', 'treatment', 'decisions.']"
Correspondence,Kidney-Transplant Recipients with Covid-19,/doi/full/10.1056/NEJMc2011117?query=featured_coronavirus,E. Akalin and Others,"A cohort of 36 consecutive kidney-transplant recipients had less fever, lower CD3, CD4, and CD8 cell counts, more rapid clinical deterioration, and a higher mortality than the general population of patients with Covid-19.",Apr 24,,"['Kidney-Transplant', 'Recipients', 'Covid-19']","['A', 'cohort', '36', 'consecutive', 'kidney-transplant', 'recipients', 'less', 'fever,', 'lower', 'CD3,', 'CD4,', 'CD8', 'cell', 'counts,', 'rapid', 'clinical', 'deterioration,', 'higher', 'mortality', 'general', 'population', 'patients', 'Covid-19.']"
Correspondence,Stroke in Young Patients with Covid-19,/doi/full/10.1056/NEJMc2009787?query=featured_coronavirus,T.J. Oxley and Others,"Five patients younger than 50 years of age with large-vessel stroke and Covid-19 infection presented to a health system in New York City over a 2-week period. The authors report the patients’ clinical characteristics, including the presence or absence of symptoms of Covid-19.",Apr 28,,"['Stroke', 'Young', 'Patients', 'Covid-19']","['Five', 'patients', 'younger', '50', 'years', 'age', 'large-vessel', 'stroke', 'Covid-19', 'infection', 'present', 'health', 'system', 'New', 'York', 'City', '2-week', 'period.', 'The', 'author', 'report', 'patients’', 'clinical', 'characteristics,', 'include', 'presence', 'absence', 'symptoms', 'Covid-19.']"
Correspondence,Acute Coronary Syndrome during Covid-19 Outbreak,/doi/full/10.1056/NEJMc2009166?query=featured_coronavirus,O. De Filippo and Others,"During the Covid-19 outbreak in northern Italy, the daily rate of admissions for acute coronary syndrome at 15 hospitals was significantly lower than the rate during two control intervals (13.3 admissions vs. 18.0 and 18.9 admissions for the two control periods).",Apr 28,,"['Acute', 'Coronary', 'Syndrome', 'Covid-19', 'Outbreak']","['During', 'Covid-19', 'outbreak', 'northern', 'Italy,', 'daily', 'rate', 'admissions', 'acute', 'coronary', 'syndrome', '15', 'hospitals', 'significantly', 'lower', 'rate', 'two', 'control', 'intervals', '(13.3', 'admissions', 'vs.', '18.0', '18.9', 'admissions', 'two', 'control', 'periods).']"
Correspondence,Neurologic Features in SARS-CoV-2 Infection,/doi/full/10.1056/NEJMc2008597?query=featured_coronavirus,J. Helms and Others,"In a consecutive series of 64 patients with Covid-19 and ARDS, 58 of whom underwent neurologic examination, severe agitation and corticospinal signs were common. In 2 of 13 patients, MRI of the brain showed small acute strokes, and in 1 patient, imaging showed a subacute stroke.",Apr 15,,"['Neurologic', 'Features', 'SARS-CoV-2', 'Infection']","['In', 'consecutive', 'series', '64', 'patients', 'Covid-19', 'ARDS,', '58', 'undergo', 'neurologic', 'examination,', 'severe', 'agitation', 'corticospinal', 'sign', 'common.', 'In', '2', '13', 'patients,', 'MRI', 'brain', 'show', 'small', 'acute', 'strokes,', '1', 'patient,', 'image', 'show', 'subacute', 'stroke.']"
Videos in Clinical Medicine,How to Obtain a Nasopharyngeal Swab Specimen,/doi/full/10.1056/NEJMvcm2010260?query=featured_coronavirus,"F.M. Marty, K. Chen, and K.A. Verrill",Collecting specimens from the surface of the respiratory mucosa with nasopharyngeal swabs is a procedure used to diagnose Covid-19 as well as other respiratory viral infections and certain bacterial infections in adults and children. This video describes the collection of specimens for detection of Covid-19.,Apr 17,,"['How', 'Obtain', 'Nasopharyngeal', 'Swab', 'Specimen']","['Collecting', 'specimens', 'surface', 'respiratory', 'mucosa', 'nasopharyngeal', 'swab', 'procedure', 'use', 'diagnose', 'Covid-19', 'well', 'respiratory', 'viral', 'infections', 'certain', 'bacterial', 'infections', 'adults', 'children.', 'This', 'video', 'describe', 'collection', 'specimens', 'detection', 'Covid-19.']"
Clinical Practice,Mild or Moderate Covid-19,/doi/full/10.1056/NEJMcp2009249?query=featured_coronavirus,"R.T. Gandhi, J.B. Lynch, and C. del Rio","The diagnosis of Covid-19 is usually based on detection of SARS-CoV-2 by PCR testing (most commonly of a nasopharyngeal swab); false negatives may occur. Available data to guide treatment have substantial limitations; randomized trials of several treatments (e.g., hydroxychloroquine, remdesivir, and favipiravir) are ongoing.",Apr 24,,"['Mild', 'Moderate', 'Covid-19']","['The', 'diagnosis', 'Covid-19', 'usually', 'base', 'detection', 'SARS-CoV-2', 'PCR', 'test', '(most', 'commonly', 'nasopharyngeal', 'swab);', 'false', 'negative', 'may', 'occur.', 'Available', 'data', 'guide', 'treatment', 'substantial', 'limitations;', 'randomize', 'trials', 'several', 'treatments', '(e.g.,', 'hydroxychloroquine,', 'remdesivir,', 'favipiravir)', 'ongoing.']"
Perspective,A National Medical Response to Crisis,/doi/full/10.1056/NEJMp2008512?query=featured_coronavirus,J. Barr and S.H. Podolsky,World War II’s massive casualties were mitigated by lives saved as a result of medical care. Many of the advances made would persist long after the war concluded — a silver lining that perhaps will have parallels in our current struggle with Covid-19.,Apr 29,,"['A', 'National', 'Medical', 'Response', 'Crisis']","['World', 'War', 'II’s', 'massive', 'casualties', 'mitigate', 'live', 'save', 'result', 'medical', 'care.', 'Many', 'advance', 'make', 'would', 'persist', 'long', 'war', 'conclude', '—', 'silver', 'line', 'perhaps', 'parallel', 'current', 'struggle', 'Covid-19.']"
Correspondence,Transforming ORs into ICUs,/doi/full/10.1056/NEJMc2010853?query=featured_coronavirus,"A.W. Peters, K.S. Chawla, and Z.A. Turnbull","In the epicenter of New York City, a medical center rapidly transforms unused facilities to increase its critical care capacity. In the process, it repurposes equipment, retrains staff, modifies ventilation systems, and constructs new walls.",Apr 24,,"['Transforming', 'ORs', 'ICUs']","['In', 'epicenter', 'New', 'York', 'City,', 'medical', 'center', 'rapidly', 'transform', 'unused', 'facilities', 'increase', 'critical', 'care', 'capacity.', 'In', 'process,', 'repurposes', 'equipment,', 'retrain', 'staff,', 'modify', 'ventilation', 'systems,', 'construct', 'new', 'walls.']"
Editorial,Ten Weeks to Crush the Curve,/doi/full/10.1056/NEJMe2007263?query=featured_coronavirus,H.V. Fineberg,"Harvey Fineberg calls for a forceful, focused campaign to eradicate Covid-19 and outlines six steps to mobilize and organize the nation to crush the curve by early June.",Apr 23,,"['Ten', 'Weeks', 'Crush', 'Curve']","['Harvey', 'Fineberg', 'call', 'forceful,', 'focus', 'campaign', 'eradicate', 'Covid-19', 'outline', 'six', 'step', 'mobilize', 'organize', 'nation', 'crush', 'curve', 'early', 'June.']"
Correspondence,In Pursuit of PPE,/doi/full/10.1056/NEJMc2010025?query=featured_coronavirus,A.W. Artenstein,"A chief physician executive finds himself involved in the complexities of trying to secure a shipment of much-needed personal protective equipment for his hospital. In the end, it seemed like a scene from a gangster movie.",Apr 17,,"['In', 'Pursuit', 'PPE']","['A', 'chief', 'physician', 'executive', 'find', 'involve', 'complexities', 'try', 'secure', 'shipment', 'much-needed', 'personal', 'protective', 'equipment', 'hospital.', 'In', 'end,', 'seem', 'like', 'scene', 'gangster', 'movie.']"
Sounding Board,Allocating Scarce Medical Resources for Covid-19,/doi/full/10.1056/NEJMsb2005114?query=featured_coronavirus,E.J. Emanuel and Others,"The Covid-19 pandemic has already stressed health care systems throughout the world, requiring rationing of medical equipment and care. The authors discuss the ethical values relevant to health care rationing and provide six recommendations to guide fair allocation of scarce medical resources during the pandemic.",Mar 23,,"['Allocating', 'Scarce', 'Medical', 'Resources', 'Covid-19']","['The', 'Covid-19', 'pandemic', 'already', 'stress', 'health', 'care', 'systems', 'throughout', 'world,', 'require', 'ration', 'medical', 'equipment', 'care.', 'The', 'author', 'discuss', 'ethical', 'value', 'relevant', 'health', 'care', 'ration', 'provide', 'six', 'recommendations', 'guide', 'fair', 'allocation', 'scarce', 'medical', 'resources', 'pandemic.']"
