PMID,DOI,Title,Journal,Authors,Abstract,PublishedDate,Topics,HighLights,lemmas_title,lemmas_abstract
32344311,10.1016/j.mehy.2020.109770,2019-nCoV-SARS-CoV-2 (COVID-19) infection: Cruciality of Furin and relevance with cancer.,Med Hypotheses,"['Usul Afsar, Cigdem']",Med Hypotheses,2020-04-29T11:00:00Z,['Mechanism'],,"['2019-nCoV-SARS-CoV-2', '(COVID-19)', 'infection:', 'Cruciality', 'Furin', 'relevance', 'cancer.']","['Med', 'Hypotheses']"
32344308,10.1016/j.mehy.2020.109764,Suggesting Ritonavir against COVID-19/SARS-CoV-2.,Med Hypotheses,"['Choudhury, Shuvasish', 'Mazumder, Muhammed Khairujjaman']",Med Hypotheses,2020-04-29T11:00:00Z,['Treatment'],,"['Suggesting', 'Ritonavir', 'COVID-19/SARS-CoV-2.']","['Med', 'Hypotheses']"
32344306,10.1016/j.mehy.2020.109756,Is Coronavirus Disease 2019 (COVID-19) seen less in countries more exposed to Malaria?,Med Hypotheses,"['Sargin, Gokhan', 'Yavasoglu, Sare Ilknur', 'Yavasoglu, Irfan']",Med Hypotheses,2020-04-29T11:00:00Z,['Treatment'],,"['Is', 'Coronavirus', 'Disease', '2019', '(COVID-19)', 'see', 'less', 'countries', 'expose', 'Malaria?']","['Med', 'Hypotheses']"
32341143,10.1128/JCM.00743-20,Comparison of Four Molecular In Vitro Diagnostic Assays for the Detection of SARS-CoV-2 in Nasopharyngeal Specimens.,J Clin Microbiol,"['Zhen, Wei', 'Manji, Ryhana', 'Smith, Elizabeth', 'Berry, Gregory J']","Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the novel human coronavirus that causes coronavirus disease 2019 (COVID-19), was first discovered in December 2019 as the cause of an outbreak of pneumonia in the city of Wuhan, Hubei province, China. The clinical presentation of COVID-19 is fairly non-specific, and symptoms overlap with other seasonal respiratory infections concurrently circulating in the population. Furthermore, it is estimated that up to 80% of infected individuals experience mild symptoms or are asymptomatic, confounding efforts to reliably diagnose COVID-19 empirically. To support infection control measures, there is an urgent need for rapid and accurate molecular diagnostics to identify COVID-19 positive patients. In the present study, we have evaluated the analytical sensitivity and clinical performance of four SARS-CoV-2 molecular diagnostic assays granted Emergency Use Authorization by the FDA using nasopharyngeal swabs from symptomatic patients: the New York SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Panel (Modified CDC), the Simplexa COVID-19 Direct (Diasorin Molecular), GenMark ePlex SARS-CoV-2 assay (GenMark) and the Hologic Panther Fusion(R) SARS-CoV-2 assay (Hologic). This information is crucial for both laboratories and clinical teams, as decisions on which testing platform to implement are made.",2020-04-29T11:00:00Z,['Diagnosis'],,"['Comparison', 'Four', 'Molecular', 'In', 'Vitro', 'Diagnostic', 'Assays', 'Detection', 'SARS-CoV-2', 'Nasopharyngeal', 'Specimens.']","['Severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(SARS-CoV-2),', 'novel', 'human', 'coronavirus', 'cause', 'coronavirus', 'disease', '2019', '(COVID-19),', 'first', 'discover', 'December', '2019', 'cause', 'outbreak', 'pneumonia', 'city', 'Wuhan,', 'Hubei', 'province,', 'China.', 'The', 'clinical', 'presentation', 'COVID-19', 'fairly', 'non-specific,', 'symptoms', 'overlap', 'seasonal', 'respiratory', 'infections', 'concurrently', 'circulate', 'population.', 'Furthermore,', 'estimate', '80%', 'infect', 'individuals', 'experience', 'mild', 'symptoms', 'asymptomatic,', 'confound', 'efforts', 'reliably', 'diagnose', 'COVID-19', 'empirically.', 'To', 'support', 'infection', 'control', 'measures,', 'urgent', 'need', 'rapid', 'accurate', 'molecular', 'diagnostics', 'identify', 'COVID-19', 'positive', 'patients.', 'In', 'present', 'study,', 'evaluate', 'analytical', 'sensitivity', 'clinical', 'performance', 'four', 'SARS-CoV-2', 'molecular', 'diagnostic', 'assay', 'grant', 'Emergency', 'Use', 'Authorization', 'FDA', 'use', 'nasopharyngeal', 'swab', 'symptomatic', 'patients:', 'New', 'York', 'SARS-CoV-2', 'Real-time', 'Reverse', 'Transcriptase', '(RT)-PCR', 'Diagnostic', 'Panel', '(Modified', 'CDC),', 'Simplexa', 'COVID-19', 'Direct', '(Diasorin', 'Molecular),', 'GenMark', 'ePlex', 'SARS-CoV-2', 'assay', '(GenMark)', 'Hologic', 'Panther', 'Fusion(R)', 'SARS-CoV-2', 'assay', '(Hologic).', 'This', 'information', 'crucial', 'laboratories', 'clinical', 'teams,', 'decisions', 'test', 'platform', 'implement', 'made.']"
32340768,10.1016/j.jfma.2020.04.013,Risk of reactivation or reinfection of novel coronavirus (COVID-19).,J Formos Med Assoc,"['Alizargar, Javad']",J Formos Med Assoc,2020-04-29T11:00:00Z,['Prevention'],,"['Risk', 'reactivation', 'reinfection', 'novel', 'coronavirus', '(COVID-19).']","['J', 'Formos', 'Med', 'Assoc']"
32342880,10.1016/j.radonc.2020.04.011,"Prevention and control measure to avoid cross infection during radiotherapy in coronavirus disease 2019 (COVID-19) epidemic in Wuhan, China.",Radiother Oncol,"['Zhang, Li', 'Zheng, Zuan', 'Hu, Guangyuan', 'Yuan, Xianglin']",Radiother Oncol,2020-04-29T11:00:00Z,['Prevention'],,"['Prevention', 'control', 'measure', 'avoid', 'cross', 'infection', 'radiotherapy', 'coronavirus', 'disease', '2019', '(COVID-19)', 'epidemic', 'Wuhan,', 'China.']","['Radiother', 'Oncol']"
32341442,10.1038/s41440-020-0455-8,"Interactions of coronaviruses with ACE2, angiotensin II, and RAS inhibitors-lessons from available evidence and insights into COVID-19.",Hypertens Res,"['Kai, Hisashi', 'Kai, Mamiko']","The rapid spread of a novel coronavirus, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has led to an ongoing pandemic of coronavirus disease 2019 (COVID-19). Recently, angiotensin-converting enzyme 2 (ACE2) has been shown to be a functional receptor for SARS-CoV-2 to enter host target cells. Given that angiotensin receptor blockers (ARBs) and an ACE inhibitor (ACEI) upregulated ACE2 expression in animal studies, the concern might arise regarding whether ARBs and ACEIs would increase the morbidity and mortality of COVID-19. On the other hand, animal data suggested a potential protective effect of ARBs against COVID-19 pneumonia because an ARB prevented the aggravation of acute lung injury in mice infected with SARS-CoV, which is closely related to SARS-CoV-2. Importantly, however, there is no clinical or experimental evidence supporting that ARBs and ACEIs either augment the susceptibility to SARS-CoV-2 or aggravate the severity and outcomes of COVID-19 at present. Until further data are available, it is recommended that ARB and ACEI medications be continued for the treatment of patients with cardiovascular disease and hypertension, especially those at high risk, according to guideline-directed medical therapy based on the currently available evidence.",2020-04-29T11:00:00Z,"['Treatment', 'Mechanism']",,"['Interactions', 'coronaviruses', 'ACE2,', 'angiotensin', 'II,', 'RAS', 'inhibitors-lessons', 'available', 'evidence', 'insights', 'COVID-19.']","['The', 'rapid', 'spread', 'novel', 'coronavirus,', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(SARS-CoV-2),', 'lead', 'ongoing', 'pandemic', 'coronavirus', 'disease', '2019', '(COVID-19).', 'Recently,', 'angiotensin-converting', 'enzyme', '2', '(ACE2)', 'show', 'functional', 'receptor', 'SARS-CoV-2', 'enter', 'host', 'target', 'cells.', 'Given', 'angiotensin', 'receptor', 'blockers', '(ARBs)', 'ACE', 'inhibitor', '(ACEI)', 'upregulated', 'ACE2', 'expression', 'animal', 'studies,', 'concern', 'might', 'arise', 'regard', 'whether', 'ARBs', 'ACEIs', 'would', 'increase', 'morbidity', 'mortality', 'COVID-19.', 'On', 'hand,', 'animal', 'data', 'suggest', 'potential', 'protective', 'effect', 'ARBs', 'COVID-19', 'pneumonia', 'ARB', 'prevent', 'aggravation', 'acute', 'lung', 'injury', 'mice', 'infect', 'SARS-CoV,', 'closely', 'relate', 'SARS-CoV-2.', 'Importantly,', 'however,', 'clinical', 'experimental', 'evidence', 'support', 'ARBs', 'ACEIs', 'either', 'augment', 'susceptibility', 'SARS-CoV-2', 'aggravate', 'severity', 'outcomes', 'COVID-19', 'present.', 'Until', 'data', 'available,', 'recommend', 'ARB', 'ACEI', 'medications', 'continue', 'treatment', 'patients', 'cardiovascular', 'disease', 'hypertension,', 'especially', 'high', 'risk,', 'accord', 'guideline-directed', 'medical', 'therapy', 'base', 'currently', 'available', 'evidence.']"
32343659,10.3238/arztebl.2020.0219,A Moderate Case of COVID-19 Viral Pneumonia During the SARS-CoV-2 Pandemic.,Dtsch Arztebl Int,"['Spinner, Christoph D', 'Schuldt, Alexander', 'Schuster, Jorg']",Dtsch Arztebl Int,2020-04-29T11:00:00Z,['Case Report'],,"['A', 'Moderate', 'Case', 'COVID-19', 'Viral', 'Pneumonia', 'During', 'SARS-CoV-2', 'Pandemic.']","['Dtsch', 'Arztebl', 'Int']"
32342724,10.1080/22221751.2020.1760144,Isolation of Infectious SARS-CoV-2 from Urine of a COVID-19 Patient.,Emerg Microbes Infect,"['Sun, Jing', 'Zhu, Airu', 'Li, Heying', 'Zheng, Kui', 'Zhuang, Zhen', 'Chen, Zhao', 'Shi, Yongxia', 'Zhang, Zhaoyong', 'Chen, Si-Bei', 'Liu, Xuesong', 'Dai, Jun', 'Li, Xiaobo', 'Huang, Shuxiang', 'Huang, Xiaofang', 'Luo, Ling', 'Wen, Liyan', 'Zhuo, Jianfen', 'Li, Yuming', 'Wang, Yanqun', 'Zhang, Lu', 'Zhang, Yanjun', 'Li, Fang', 'Feng, Liqiang', 'Chen, Xinwen', 'Zhong, Nanshan', 'Yang, Zifeng', 'Huang, Jicheng', 'Zhao, Jincun', 'Li, Yi-Min']","SARS-CoV-2 caused a major outbreak of severe pneumonia (COVID-19) in humans. Viral RNA was detected in multiple organs in COVID-19 patients. However, infectious SARS-CoV-2 was only isolated from respiratory specimens. Here, infectious SARS-CoV-2 was successfully isolated from urine of a COVID-19 patient. The virus isolated could infect new susceptible cells and was recognized by its' own patient sera. Appropriate precautions should be taken to avoid transmission from urine.",2020-04-29T11:00:00Z,"['Prevention', 'Transmission']",,"['Isolation', 'Infectious', 'SARS-CoV-2', 'Urine', 'COVID-19', 'Patient.']","['SARS-CoV-2', 'cause', 'major', 'outbreak', 'severe', 'pneumonia', '(COVID-19)', 'humans.', 'Viral', 'RNA', 'detect', 'multiple', 'organs', 'COVID-19', 'patients.', 'However,', 'infectious', 'SARS-CoV-2', 'isolate', 'respiratory', 'specimens.', 'Here,', 'infectious', 'SARS-CoV-2', 'successfully', 'isolate', 'urine', 'COVID-19', 'patient.', 'The', 'virus', 'isolate', 'could', 'infect', 'new', 'susceptible', 'cells', 'recognize', ""its'"", 'patient', 'sera.', 'Appropriate', 'precautions', 'take', 'avoid', 'transmission', 'urine.']"
32344366,10.1016/j.seizure.2020.04.009,Focal status epilepticus as unique clinical feature of COVID-19: A case report.,Seizure,"['Vollono, Catello', 'Rollo, Eleonora', 'Romozzi, Marina', 'Frisullo, Giovanni', 'Servidei, Serenella', 'Borghetti, Alberto', 'Calabresi, Paolo']","SARS-CoV-2, a novel zoonotic coronavirus, is currently spreading all over the world, causing a pandemic disease defined coronavirus disease 2019 (COVID-19). The spectrum of COVID-19 ranges from asymptomatic or mild infection to rapidly progressive, acute respiratory distress syndrome and death [1].To the best of our knowledge, status epilepticus has never been described as initial presentation of COVID-19. We report a patient affected by COVID-19 whose primary presentation was a focal status epilepticus.",2020-04-29T11:00:00Z,['Case Report'],,"['Focal', 'status', 'epilepticus', 'unique', 'clinical', 'feature', 'COVID-19:', 'A', 'case', 'report.']","['SARS-CoV-2,', 'novel', 'zoonotic', 'coronavirus,', 'currently', 'spread', 'world,', 'cause', 'pandemic', 'disease', 'define', 'coronavirus', 'disease', '2019', '(COVID-19).', 'The', 'spectrum', 'COVID-19', 'range', 'asymptomatic', 'mild', 'infection', 'rapidly', 'progressive,', 'acute', 'respiratory', 'distress', 'syndrome', 'death', '[1].To', 'best', 'knowledge,', 'status', 'epilepticus', 'never', 'describe', 'initial', 'presentation', 'COVID-19.', 'We', 'report', 'patient', 'affect', 'COVID-19', 'whose', 'primary', 'presentation', 'focal', 'status', 'epilepticus.']"
