PMID,DOI,Title,Journal,Authors,Abstract,PublishedDate,Topics,HighLights,title_words,abstract_words,abstract_sentences
32344311,10.1016/j.mehy.2020.109770,2019-nCoV-SARS-CoV-2 (COVID-19) infection: Cruciality of Furin and relevance with cancer.,Med Hypotheses,"['Usul Afsar, Cigdem']",Med Hypotheses,2020-04-29T11:00:00Z,['Mechanism'],,"['2019-nCoV-SARS-CoV-2', '(', 'COVID-19', ')', 'infection', ':', 'Cruciality', 'of', 'Furin', 'and', 'relevance', 'with', 'cancer', '.']","['Med', 'Hypotheses']",['Med Hypotheses']
32344308,10.1016/j.mehy.2020.109764,Suggesting Ritonavir against COVID-19/SARS-CoV-2.,Med Hypotheses,"['Choudhury, Shuvasish', 'Mazumder, Muhammed Khairujjaman']",Med Hypotheses,2020-04-29T11:00:00Z,['Treatment'],,"['Suggesting', 'Ritonavir', 'against', 'COVID-19/SARS-CoV-2', '.']","['Med', 'Hypotheses']",['Med Hypotheses']
32344306,10.1016/j.mehy.2020.109756,Is Coronavirus Disease 2019 (COVID-19) seen less in countries more exposed to Malaria?,Med Hypotheses,"['Sargin, Gokhan', 'Yavasoglu, Sare Ilknur', 'Yavasoglu, Irfan']",Med Hypotheses,2020-04-29T11:00:00Z,['Treatment'],,"['Is', 'Coronavirus', 'Disease', '2019', '(', 'COVID-19', ')', 'see', 'le', 'in', 'country', 'more', 'expose', 'to', 'Malaria', '?']","['Med', 'Hypotheses']",['Med Hypotheses']
32341143,10.1128/JCM.00743-20,Comparison of Four Molecular In Vitro Diagnostic Assays for the Detection of SARS-CoV-2 in Nasopharyngeal Specimens.,J Clin Microbiol,"['Zhen, Wei', 'Manji, Ryhana', 'Smith, Elizabeth', 'Berry, Gregory J']","Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the novel human coronavirus that causes coronavirus disease 2019 (COVID-19), was first discovered in December 2019 as the cause of an outbreak of pneumonia in the city of Wuhan, Hubei province, China. The clinical presentation of COVID-19 is fairly non-specific, and symptoms overlap with other seasonal respiratory infections concurrently circulating in the population. Furthermore, it is estimated that up to 80% of infected individuals experience mild symptoms or are asymptomatic, confounding efforts to reliably diagnose COVID-19 empirically. To support infection control measures, there is an urgent need for rapid and accurate molecular diagnostics to identify COVID-19 positive patients. In the present study, we have evaluated the analytical sensitivity and clinical performance of four SARS-CoV-2 molecular diagnostic assays granted Emergency Use Authorization by the FDA using nasopharyngeal swabs from symptomatic patients: the New York SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Panel (Modified CDC), the Simplexa COVID-19 Direct (Diasorin Molecular), GenMark ePlex SARS-CoV-2 assay (GenMark) and the Hologic Panther Fusion(R) SARS-CoV-2 assay (Hologic). This information is crucial for both laboratories and clinical teams, as decisions on which testing platform to implement are made.",2020-04-29T11:00:00Z,['Diagnosis'],,"['Comparison', 'of', 'Four', 'Molecular', 'In', 'Vitro', 'Diagnostic', 'Assays', 'for', 'the', 'Detection', 'of', 'SARS-CoV-2', 'in', 'Nasopharyngeal', 'Specimens', '.']","['Severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(', 'SARS-CoV-2', ')', ',', 'the', 'novel', 'human', 'coronavirus', 'that', 'cause', 'coronavirus', 'disease', '2019', '(', 'COVID-19', ')', ',', 'wa', 'first', 'discover', 'in', 'December', '2019', 'a', 'the', 'cause', 'of', 'an', 'outbreak', 'of', 'pneumonia', 'in', 'the', 'city', 'of', 'Wuhan', ',', 'Hubei', 'province', ',', 'China', '.', 'The', 'clinical', 'presentation', 'of', 'COVID-19', 'be', 'fairly', 'non-specific', ',', 'and', 'symptom', 'overlap', 'with', 'other', 'seasonal', 'respiratory', 'infection', 'concurrently', 'circulate', 'in', 'the', 'population', '.', 'Furthermore', ',', 'it', 'be', 'estimate', 'that', 'up', 'to', '80', '%', 'of', 'infect', 'individual', 'experience', 'mild', 'symptom', 'or', 'be', 'asymptomatic', ',', 'confound', 'effort', 'to', 'reliably', 'diagnose', 'COVID-19', 'empirically', '.', 'To', 'support', 'infection', 'control', 'measure', ',', 'there', 'be', 'an', 'urgent', 'need', 'for', 'rapid', 'and', 'accurate', 'molecular', 'diagnostics', 'to', 'identify', 'COVID-19', 'positive', 'patient', '.', 'In', 'the', 'present', 'study', ',', 'we', 'have', 'evaluate', 'the', 'analytical', 'sensitivity', 'and', 'clinical', 'performance', 'of', 'four', 'SARS-CoV-2', 'molecular', 'diagnostic', 'assay', 'grant', 'Emergency', 'Use', 'Authorization', 'by', 'the', 'FDA', 'use', 'nasopharyngeal', 'swab', 'from', 'symptomatic', 'patient', ':', 'the', 'New', 'York', 'SARS-CoV-2', 'Real-time', 'Reverse', 'Transcriptase', '(', 'RT', ')', '-PCR', 'Diagnostic', 'Panel', '(', 'Modified', 'CDC', ')', ',', 'the', 'Simplexa', 'COVID-19', 'Direct', '(', 'Diasorin', 'Molecular', ')', ',', 'GenMark', 'ePlex', 'SARS-CoV-2', 'assay', '(', 'GenMark', ')', 'and', 'the', 'Hologic', 'Panther', 'Fusion', '(', 'R', ')', 'SARS-CoV-2', 'assay', '(', 'Hologic', ')', '.', 'This', 'information', 'be', 'crucial', 'for', 'both', 'laboratory', 'and', 'clinical', 'team', ',', 'a', 'decision', 'on', 'which', 'test', 'platform', 'to', 'implement', 'be', 'make', '.']","['Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the novel human coronavirus that causes coronavirus disease 2019 (COVID-19), was first discovered in December 2019 as the cause of an outbreak of pneumonia in the city of Wuhan, Hubei province, China.', 'The clinical presentation of COVID-19 is fairly non-specific, and symptoms overlap with other seasonal respiratory infections concurrently circulating in the population.', 'Furthermore, it is estimated that up to 80% of infected individuals experience mild symptoms or are asymptomatic, confounding efforts to reliably diagnose COVID-19 empirically.', 'To support infection control measures, there is an urgent need for rapid and accurate molecular diagnostics to identify COVID-19 positive patients.', 'In the present study, we have evaluated the analytical sensitivity and clinical performance of four SARS-CoV-2 molecular diagnostic assays granted Emergency Use Authorization by the FDA using nasopharyngeal swabs from symptomatic patients: the New York SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Panel (Modified CDC), the Simplexa COVID-19 Direct (Diasorin Molecular), GenMark ePlex SARS-CoV-2 assay (GenMark) and the Hologic Panther Fusion(R) SARS-CoV-2 assay (Hologic).', 'This information is crucial for both laboratories and clinical teams, as decisions on which testing platform to implement are made.']"
32340768,10.1016/j.jfma.2020.04.013,Risk of reactivation or reinfection of novel coronavirus (COVID-19).,J Formos Med Assoc,"['Alizargar, Javad']",J Formos Med Assoc,2020-04-29T11:00:00Z,['Prevention'],,"['Risk', 'of', 'reactivation', 'or', 'reinfection', 'of', 'novel', 'coronavirus', '(', 'COVID-19', ')', '.']","['J', 'Formos', 'Med', 'Assoc']",['J Formos Med Assoc']
32342880,10.1016/j.radonc.2020.04.011,"Prevention and control measure to avoid cross infection during radiotherapy in coronavirus disease 2019 (COVID-19) epidemic in Wuhan, China.",Radiother Oncol,"['Zhang, Li', 'Zheng, Zuan', 'Hu, Guangyuan', 'Yuan, Xianglin']",Radiother Oncol,2020-04-29T11:00:00Z,['Prevention'],,"['Prevention', 'and', 'control', 'measure', 'to', 'avoid', 'cross', 'infection', 'during', 'radiotherapy', 'in', 'coronavirus', 'disease', '2019', '(', 'COVID-19', ')', 'epidemic', 'in', 'Wuhan', ',', 'China', '.']","['Radiother', 'Oncol']",['Radiother Oncol']
32341442,10.1038/s41440-020-0455-8,"Interactions of coronaviruses with ACE2, angiotensin II, and RAS inhibitors-lessons from available evidence and insights into COVID-19.",Hypertens Res,"['Kai, Hisashi', 'Kai, Mamiko']","The rapid spread of a novel coronavirus, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has led to an ongoing pandemic of coronavirus disease 2019 (COVID-19). Recently, angiotensin-converting enzyme 2 (ACE2) has been shown to be a functional receptor for SARS-CoV-2 to enter host target cells. Given that angiotensin receptor blockers (ARBs) and an ACE inhibitor (ACEI) upregulated ACE2 expression in animal studies, the concern might arise regarding whether ARBs and ACEIs would increase the morbidity and mortality of COVID-19. On the other hand, animal data suggested a potential protective effect of ARBs against COVID-19 pneumonia because an ARB prevented the aggravation of acute lung injury in mice infected with SARS-CoV, which is closely related to SARS-CoV-2. Importantly, however, there is no clinical or experimental evidence supporting that ARBs and ACEIs either augment the susceptibility to SARS-CoV-2 or aggravate the severity and outcomes of COVID-19 at present. Until further data are available, it is recommended that ARB and ACEI medications be continued for the treatment of patients with cardiovascular disease and hypertension, especially those at high risk, according to guideline-directed medical therapy based on the currently available evidence.",2020-04-29T11:00:00Z,"['Treatment', 'Mechanism']",,"['Interactions', 'of', 'coronaviruses', 'with', 'ACE2', ',', 'angiotensin', 'II', ',', 'and', 'RAS', 'inhibitors-lessons', 'from', 'available', 'evidence', 'and', 'insight', 'into', 'COVID-19', '.']","['The', 'rapid', 'spread', 'of', 'a', 'novel', 'coronavirus', ',', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(', 'SARS-CoV-2', ')', ',', 'ha', 'lead', 'to', 'an', 'ongoing', 'pandemic', 'of', 'coronavirus', 'disease', '2019', '(', 'COVID-19', ')', '.', 'Recently', ',', 'angiotensin-converting', 'enzyme', '2', '(', 'ACE2', ')', 'ha', 'be', 'show', 'to', 'be', 'a', 'functional', 'receptor', 'for', 'SARS-CoV-2', 'to', 'enter', 'host', 'target', 'cell', '.', 'Given', 'that', 'angiotensin', 'receptor', 'blocker', '(', 'ARBs', ')', 'and', 'an', 'ACE', 'inhibitor', '(', 'ACEI', ')', 'upregulated', 'ACE2', 'expression', 'in', 'animal', 'study', ',', 'the', 'concern', 'might', 'arise', 'regard', 'whether', 'ARBs', 'and', 'ACEIs', 'would', 'increase', 'the', 'morbidity', 'and', 'mortality', 'of', 'COVID-19', '.', 'On', 'the', 'other', 'hand', ',', 'animal', 'data', 'suggest', 'a', 'potential', 'protective', 'effect', 'of', 'ARBs', 'against', 'COVID-19', 'pneumonia', 'because', 'an', 'ARB', 'prevent', 'the', 'aggravation', 'of', 'acute', 'lung', 'injury', 'in', 'mouse', 'infect', 'with', 'SARS-CoV', ',', 'which', 'be', 'closely', 'relate', 'to', 'SARS-CoV-2', '.', 'Importantly', ',', 'however', ',', 'there', 'be', 'no', 'clinical', 'or', 'experimental', 'evidence', 'support', 'that', 'ARBs', 'and', 'ACEIs', 'either', 'augment', 'the', 'susceptibility', 'to', 'SARS-CoV-2', 'or', 'aggravate', 'the', 'severity', 'and', 'outcome', 'of', 'COVID-19', 'at', 'present', '.', 'Until', 'further', 'data', 'be', 'available', ',', 'it', 'be', 'recommend', 'that', 'ARB', 'and', 'ACEI', 'medication', 'be', 'continue', 'for', 'the', 'treatment', 'of', 'patient', 'with', 'cardiovascular', 'disease', 'and', 'hypertension', ',', 'especially', 'those', 'at', 'high', 'risk', ',', 'accord', 'to', 'guideline-directed', 'medical', 'therapy', 'base', 'on', 'the', 'currently', 'available', 'evidence', '.']","['The rapid spread of a novel coronavirus, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has led to an ongoing pandemic of coronavirus disease 2019 (COVID-19).', 'Recently, angiotensin-converting enzyme 2 (ACE2) has been shown to be a functional receptor for SARS-CoV-2 to enter host target cells.', 'Given that angiotensin receptor blockers (ARBs) and an ACE inhibitor (ACEI) upregulated ACE2 expression in animal studies, the concern might arise regarding whether ARBs and ACEIs would increase the morbidity and mortality of COVID-19.', 'On the other hand, animal data suggested a potential protective effect of ARBs against COVID-19 pneumonia because an ARB prevented the aggravation of acute lung injury in mice infected with SARS-CoV, which is closely related to SARS-CoV-2.', 'Importantly, however, there is no clinical or experimental evidence supporting that ARBs and ACEIs either augment the susceptibility to SARS-CoV-2 or aggravate the severity and outcomes of COVID-19 at present.', 'Until further data are available, it is recommended that ARB and ACEI medications be continued for the treatment of patients with cardiovascular disease and hypertension, especially those at high risk, according to guideline-directed medical therapy based on the currently available evidence.']"
32343659,10.3238/arztebl.2020.0219,A Moderate Case of COVID-19 Viral Pneumonia During the SARS-CoV-2 Pandemic.,Dtsch Arztebl Int,"['Spinner, Christoph D', 'Schuldt, Alexander', 'Schuster, Jorg']",Dtsch Arztebl Int,2020-04-29T11:00:00Z,['Case Report'],,"['A', 'Moderate', 'Case', 'of', 'COVID-19', 'Viral', 'Pneumonia', 'During', 'the', 'SARS-CoV-2', 'Pandemic', '.']","['Dtsch', 'Arztebl', 'Int']",['Dtsch Arztebl Int']
32342724,10.1080/22221751.2020.1760144,Isolation of Infectious SARS-CoV-2 from Urine of a COVID-19 Patient.,Emerg Microbes Infect,"['Sun, Jing', 'Zhu, Airu', 'Li, Heying', 'Zheng, Kui', 'Zhuang, Zhen', 'Chen, Zhao', 'Shi, Yongxia', 'Zhang, Zhaoyong', 'Chen, Si-Bei', 'Liu, Xuesong', 'Dai, Jun', 'Li, Xiaobo', 'Huang, Shuxiang', 'Huang, Xiaofang', 'Luo, Ling', 'Wen, Liyan', 'Zhuo, Jianfen', 'Li, Yuming', 'Wang, Yanqun', 'Zhang, Lu', 'Zhang, Yanjun', 'Li, Fang', 'Feng, Liqiang', 'Chen, Xinwen', 'Zhong, Nanshan', 'Yang, Zifeng', 'Huang, Jicheng', 'Zhao, Jincun', 'Li, Yi-Min']","SARS-CoV-2 caused a major outbreak of severe pneumonia (COVID-19) in humans. Viral RNA was detected in multiple organs in COVID-19 patients. However, infectious SARS-CoV-2 was only isolated from respiratory specimens. Here, infectious SARS-CoV-2 was successfully isolated from urine of a COVID-19 patient. The virus isolated could infect new susceptible cells and was recognized by its' own patient sera. Appropriate precautions should be taken to avoid transmission from urine.",2020-04-29T11:00:00Z,"['Prevention', 'Transmission']",,"['Isolation', 'of', 'Infectious', 'SARS-CoV-2', 'from', 'Urine', 'of', 'a', 'COVID-19', 'Patient', '.']","['SARS-CoV-2', 'cause', 'a', 'major', 'outbreak', 'of', 'severe', 'pneumonia', '(', 'COVID-19', ')', 'in', 'human', '.', 'Viral', 'RNA', 'wa', 'detect', 'in', 'multiple', 'organ', 'in', 'COVID-19', 'patient', '.', 'However', ',', 'infectious', 'SARS-CoV-2', 'wa', 'only', 'isolate', 'from', 'respiratory', 'specimen', '.', 'Here', ',', 'infectious', 'SARS-CoV-2', 'wa', 'successfully', 'isolate', 'from', 'urine', 'of', 'a', 'COVID-19', 'patient', '.', 'The', 'virus', 'isolate', 'could', 'infect', 'new', 'susceptible', 'cell', 'and', 'wa', 'recognize', 'by', 'it', ""'"", 'own', 'patient', 'serum', '.', 'Appropriate', 'precaution', 'should', 'be', 'take', 'to', 'avoid', 'transmission', 'from', 'urine', '.']","['SARS-CoV-2 caused a major outbreak of severe pneumonia (COVID-19) in humans.', 'Viral RNA was detected in multiple organs in COVID-19 patients.', 'However, infectious SARS-CoV-2 was only isolated from respiratory specimens.', 'Here, infectious SARS-CoV-2 was successfully isolated from urine of a COVID-19 patient.', ""The virus isolated could infect new susceptible cells and was recognized by its' own patient sera."", 'Appropriate precautions should be taken to avoid transmission from urine.']"
32344366,10.1016/j.seizure.2020.04.009,Focal status epilepticus as unique clinical feature of COVID-19: A case report.,Seizure,"['Vollono, Catello', 'Rollo, Eleonora', 'Romozzi, Marina', 'Frisullo, Giovanni', 'Servidei, Serenella', 'Borghetti, Alberto', 'Calabresi, Paolo']","SARS-CoV-2, a novel zoonotic coronavirus, is currently spreading all over the world, causing a pandemic disease defined coronavirus disease 2019 (COVID-19). The spectrum of COVID-19 ranges from asymptomatic or mild infection to rapidly progressive, acute respiratory distress syndrome and death [1].To the best of our knowledge, status epilepticus has never been described as initial presentation of COVID-19. We report a patient affected by COVID-19 whose primary presentation was a focal status epilepticus.",2020-04-29T11:00:00Z,['Case Report'],,"['Focal', 'status', 'epilepticus', 'a', 'unique', 'clinical', 'feature', 'of', 'COVID-19', ':', 'A', 'case', 'report', '.']","['SARS-CoV-2', ',', 'a', 'novel', 'zoonotic', 'coronavirus', ',', 'be', 'currently', 'spread', 'all', 'over', 'the', 'world', ',', 'cause', 'a', 'pandemic', 'disease', 'define', 'coronavirus', 'disease', '2019', '(', 'COVID-19', ')', '.', 'The', 'spectrum', 'of', 'COVID-19', 'range', 'from', 'asymptomatic', 'or', 'mild', 'infection', 'to', 'rapidly', 'progressive', ',', 'acute', 'respiratory', 'distress', 'syndrome', 'and', 'death', '[', '1', ']', '.To', 'the', 'best', 'of', 'our', 'knowledge', ',', 'status', 'epilepticus', 'ha', 'never', 'be', 'describe', 'a', 'initial', 'presentation', 'of', 'COVID-19', '.', 'We', 'report', 'a', 'patient', 'affect', 'by', 'COVID-19', 'whose', 'primary', 'presentation', 'wa', 'a', 'focal', 'status', 'epilepticus', '.']","['SARS-CoV-2, a novel zoonotic coronavirus, is currently spreading all over the world, causing a pandemic disease defined coronavirus disease 2019 (COVID-19).', 'The spectrum of COVID-19 ranges from asymptomatic or mild infection to rapidly progressive, acute respiratory distress syndrome and death [1].To the best of our knowledge, status epilepticus has never been described as initial presentation of COVID-19.', 'We report a patient affected by COVID-19 whose primary presentation was a focal status epilepticus.']"
