ID,Type,Subtype,Version,Title,URL,Abstract,lemmas_title,lemmas_abstract
126981,medical,medical_review,,"Coronavirus disease 2019 (COVID-19): Epidemiology, virology, clinical features, diagnosis, and prevention",/contents/coronavirus-disease-2019-covid-19-epidemiology-virology-clinical-features-diagnosis-and-prevention?search=covid+19&source=search_result&selectedTitle=1%7E150&usage_type=default," designated the disease COVID-19, which stands for coronavirus disease 2019 . The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was ","['Coronavirus', 'disease', '2019', '(COVID-19):', 'Epidemiology,', 'virology,', 'clinical', 'features,', 'diagnosis,', 'prevention']","['designate', 'disease', 'COVID-19,', 'stand', 'coronavirus', 'disease', '2019', '.', 'The', 'virus', 'cause', 'COVID-19', 'designate', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(SARS-CoV-2);', 'previously,']"
127429,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Management in hospitalized adults,/contents/coronavirus-disease-2019-covid-19-management-in-hospitalized-adults?search=covid+19&source=search_result&selectedTitle=2%7E150&usage_type=default," disease is designated COVID-19, which stands for coronavirus disease 2019 . The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was ","['Coronavirus', 'disease', '2019', '(COVID-19):', 'Management', 'hospitalize', 'adults']","['disease', 'designate', 'COVID-19,', 'stand', 'coronavirus', 'disease', '2019', '.', 'The', 'virus', 'cause', 'COVID-19', 'designate', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(SARS-CoV-2);', 'previously,']"
127488,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Considerations in children,/contents/coronavirus-disease-2019-covid-19-considerations-in-children?search=covid+19&source=search_result&selectedTitle=3%7E150&usage_type=default," designated the disease COVID-19, which stands for coronavirus disease 2019 . The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was ","['Coronavirus', 'disease', '2019', '(COVID-19):', 'Considerations', 'children']","['designate', 'disease', 'COVID-19,', 'stand', 'coronavirus', 'disease', '2019', '.', 'The', 'virus', 'cause', 'COVID-19', 'designate', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(SARS-CoV-2);', 'previously,']"
127828,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Psychiatric issues,/contents/coronavirus-disease-2019-covid-19-psychiatric-issues?search=covid+19&source=search_result&selectedTitle=4%7E150&usage_type=default,"clinicians who care for patients with COVID-19 and suspected cases . In addition, COVID-19 may precipitate anxiety, depression, and sleep problems in patients with COVID-19 and may adversely affect patients ","['Coronavirus', 'disease', '2019', '(COVID-19):', 'Psychiatric', 'issue']","['clinicians', 'care', 'patients', 'COVID-19', 'suspect', 'case', '.', 'In', 'addition,', 'COVID-19', 'may', 'precipitate', 'anxiety,', 'depression,', 'sleep', 'problems', 'patients', 'COVID-19', 'may', 'adversely', 'affect', 'patients']"
127759,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Outpatient management in adults,/contents/coronavirus-disease-2019-covid-19-outpatient-management-in-adults?search=covid+19&source=search_result&selectedTitle=5%7E150&usage_type=default, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and the illness it causes is coronavirus disease 2019 (COVID-19). The spectrum of COVID-19 ranges from asymptomatic infection to mild respiratory ,"['Coronavirus', 'disease', '2019', '(COVID-19):', 'Outpatient', 'management', 'adults']","['severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(SARS-CoV-2)', 'illness', 'cause', 'coronavirus', 'disease', '2019', '(COVID-19).', 'The', 'spectrum', 'COVID-19', 'range', 'asymptomatic', 'infection', 'mild', 'respiratory']"
127533,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Coronary artery disease issues,/contents/coronavirus-disease-2019-covid-19-coronary-artery-disease-issues?search=covid+19&source=search_result&selectedTitle=6%7E150&usage_type=default,"epicenters with extreme COVID-19-associated disease burden, whereas other areas continue to see more regular ACS and only rarely COVID-19 patients.   ACS patients with unknown COVID-19 status are treated as ","['Coronavirus', 'disease', '2019', '(COVID-19):', 'Coronary', 'artery', 'disease', 'issue']","['epicenters', 'extreme', 'COVID-19-associated', 'disease', 'burden,', 'whereas', 'areas', 'continue', 'see', 'regular', 'ACS', 'rarely', 'COVID-19', 'patients.', 'ACS', 'patients', 'unknown', 'COVID-19', 'status', 'treat']"
127551,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Arrhythmias and conduction system disease,/contents/coronavirus-disease-2019-covid-19-arrhythmias-and-conduction-system-disease?search=covid+19&source=search_result&selectedTitle=7%7E150&usage_type=default," disease is designated COVID-19, which stands for ""coronavirus disease 2019"" . The virus that causes COVID-19 is designated ""severe acute respiratory syndrome coronavirus 2"" (SARS-CoV-2); previously, it was ","['Coronavirus', 'disease', '2019', '(COVID-19):', 'Arrhythmias', 'conduction', 'system', 'disease']","['disease', 'designate', 'COVID-19,', 'stand', '""coronavirus', 'disease', '2019""', '.', 'The', 'virus', 'cause', 'COVID-19', 'designate', '""severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2""', '(SARS-CoV-2);', 'previously,']"
127537,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Myocardial injury,/contents/coronavirus-disease-2019-covid-19-myocardial-injury?search=covid+19&source=search_result&selectedTitle=8%7E150&usage_type=default, coronavirus disease of 2019 (COVID-19) is caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2; previously referred to as 2019-nCoV). Patients with COVID-19 commonly present with signs ,"['Coronavirus', 'disease', '2019', '(COVID-19):', 'Myocardial', 'injury']","['coronavirus', 'disease', '2019', '(COVID-19)', 'cause', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(SARS-CoV-2;', 'previously', 'refer', '2019-nCoV).', 'Patients', 'COVID-19', 'commonly', 'present', 'sign']"
127501,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Infection control in health care and home settings,/contents/coronavirus-disease-2019-covid-19-infection-control-in-health-care-and-home-settings?search=covid+19&source=search_result&selectedTitle=9%7E150&usage_type=default," The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was referred to as 2019-nCoV. Understanding of COVID-19 is evolving. Interim guidance ","['Coronavirus', 'disease', '2019', '(COVID-19):', 'Infection', 'control', 'health', 'care', 'home', 'settings']","['The', 'virus', 'cause', 'COVID-19', 'designate', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(SARS-CoV-2);', 'previously,', 'refer', '2019-nCoV.', 'Understanding', 'COVID-19', 'evolving.', 'Interim', 'guidance']"
127552,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Issues related to kidney disease and hypertension,/contents/coronavirus-disease-2019-covid-19-issues-related-to-kidney-disease-and-hypertension?search=covid+19&source=search_result&selectedTitle=10%7E150&usage_type=default,regardless of the COVID-19 status of any given patient. Alterations in RRT management that might be undertaken during the COVID-19 outbreak include the following: Patients with COVID-19 infection and AKI ,"['Coronavirus', 'disease', '2019', '(COVID-19):', 'Issues', 'relate', 'kidney', 'disease', 'hypertension']","['regardless', 'COVID-19', 'status', 'give', 'patient.', 'Alterations', 'RRT', 'management', 'might', 'undertake', 'COVID-19', 'outbreak', 'include', 'following:', 'Patients', 'COVID-19', 'infection', 'AKI']"
