ID,Type,Subtype,Version,Title,URL,Abstract,title_words,abstract_words,abstract_sentences
126981,medical,medical_review,,"Coronavirus disease 2019 (COVID-19): Epidemiology, virology, clinical features, diagnosis, and prevention",/contents/coronavirus-disease-2019-covid-19-epidemiology-virology-clinical-features-diagnosis-and-prevention?search=covid+19&source=search_result&selectedTitle=1%7E150&usage_type=default," designated the disease COVID-19, which stands for coronavirus disease 2019 . The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was ","['Coronavirus', 'disease', '2019', '(', 'COVID-19', ')', ':', 'Epidemiology', ',', 'virology', ',', 'clinical', 'feature', ',', 'diagnosis', ',', 'and', 'prevention']","['designate', 'the', 'disease', 'COVID-19', ',', 'which', 'stand', 'for', 'coronavirus', 'disease', '2019', '.', 'The', 'virus', 'that', 'cause', 'COVID-19', 'be', 'designate', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(', 'SARS-CoV-2', ')', ';', 'previously', ',', 'it', 'wa']","[' designated the disease COVID-19, which stands for coronavirus disease 2019 .', 'The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was']"
127429,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Management in hospitalized adults,/contents/coronavirus-disease-2019-covid-19-management-in-hospitalized-adults?search=covid+19&source=search_result&selectedTitle=2%7E150&usage_type=default," disease is designated COVID-19, which stands for coronavirus disease 2019 . The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was ","['Coronavirus', 'disease', '2019', '(', 'COVID-19', ')', ':', 'Management', 'in', 'hospitalize', 'adult']","['disease', 'be', 'designate', 'COVID-19', ',', 'which', 'stand', 'for', 'coronavirus', 'disease', '2019', '.', 'The', 'virus', 'that', 'cause', 'COVID-19', 'be', 'designate', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(', 'SARS-CoV-2', ')', ';', 'previously', ',', 'it', 'wa']","[' disease is designated COVID-19, which stands for coronavirus disease 2019 .', 'The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was']"
127488,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Considerations in children,/contents/coronavirus-disease-2019-covid-19-considerations-in-children?search=covid+19&source=search_result&selectedTitle=3%7E150&usage_type=default," designated the disease COVID-19, which stands for coronavirus disease 2019 . The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was ","['Coronavirus', 'disease', '2019', '(', 'COVID-19', ')', ':', 'Considerations', 'in', 'child']","['designate', 'the', 'disease', 'COVID-19', ',', 'which', 'stand', 'for', 'coronavirus', 'disease', '2019', '.', 'The', 'virus', 'that', 'cause', 'COVID-19', 'be', 'designate', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(', 'SARS-CoV-2', ')', ';', 'previously', ',', 'it', 'wa']","[' designated the disease COVID-19, which stands for coronavirus disease 2019 .', 'The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was']"
127828,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Psychiatric issues,/contents/coronavirus-disease-2019-covid-19-psychiatric-issues?search=covid+19&source=search_result&selectedTitle=4%7E150&usage_type=default,"clinicians who care for patients with COVID-19 and suspected cases . In addition, COVID-19 may precipitate anxiety, depression, and sleep problems in patients with COVID-19 and may adversely affect patients ","['Coronavirus', 'disease', '2019', '(', 'COVID-19', ')', ':', 'Psychiatric', 'issue']","['clinician', 'who', 'care', 'for', 'patient', 'with', 'COVID-19', 'and', 'suspect', 'case', '.', 'In', 'addition', ',', 'COVID-19', 'may', 'precipitate', 'anxiety', ',', 'depression', ',', 'and', 'sleep', 'problem', 'in', 'patient', 'with', 'COVID-19', 'and', 'may', 'adversely', 'affect', 'patient']","['clinicians who care for patients with COVID-19 and suspected cases .', 'In addition, COVID-19 may precipitate anxiety, depression, and sleep problems in patients with COVID-19 and may adversely affect patients']"
127759,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Outpatient management in adults,/contents/coronavirus-disease-2019-covid-19-outpatient-management-in-adults?search=covid+19&source=search_result&selectedTitle=5%7E150&usage_type=default, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and the illness it causes is coronavirus disease 2019 (COVID-19). The spectrum of COVID-19 ranges from asymptomatic infection to mild respiratory ,"['Coronavirus', 'disease', '2019', '(', 'COVID-19', ')', ':', 'Outpatient', 'management', 'in', 'adult']","['severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(', 'SARS-CoV-2', ')', 'and', 'the', 'illness', 'it', 'cause', 'be', 'coronavirus', 'disease', '2019', '(', 'COVID-19', ')', '.', 'The', 'spectrum', 'of', 'COVID-19', 'range', 'from', 'asymptomatic', 'infection', 'to', 'mild', 'respiratory']","[' severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and the illness it causes is coronavirus disease 2019 (COVID-19).', 'The spectrum of COVID-19 ranges from asymptomatic infection to mild respiratory']"
127533,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Coronary artery disease issues,/contents/coronavirus-disease-2019-covid-19-coronary-artery-disease-issues?search=covid+19&source=search_result&selectedTitle=6%7E150&usage_type=default,"epicenters with extreme COVID-19-associated disease burden, whereas other areas continue to see more regular ACS and only rarely COVID-19 patients.   ACS patients with unknown COVID-19 status are treated as ","['Coronavirus', 'disease', '2019', '(', 'COVID-19', ')', ':', 'Coronary', 'artery', 'disease', 'issue']","['epicenter', 'with', 'extreme', 'COVID-19-associated', 'disease', 'burden', ',', 'whereas', 'other', 'area', 'continue', 'to', 'see', 'more', 'regular', 'ACS', 'and', 'only', 'rarely', 'COVID-19', 'patient', '.', 'ACS', 'patient', 'with', 'unknown', 'COVID-19', 'status', 'be', 'treat', 'a']","['epicenters with extreme COVID-19-associated disease burden, whereas other areas continue to see more regular ACS and only rarely COVID-19 patients.', 'ACS patients with unknown COVID-19 status are treated as']"
127551,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Arrhythmias and conduction system disease,/contents/coronavirus-disease-2019-covid-19-arrhythmias-and-conduction-system-disease?search=covid+19&source=search_result&selectedTitle=7%7E150&usage_type=default," disease is designated COVID-19, which stands for ""coronavirus disease 2019"" . The virus that causes COVID-19 is designated ""severe acute respiratory syndrome coronavirus 2"" (SARS-CoV-2); previously, it was ","['Coronavirus', 'disease', '2019', '(', 'COVID-19', ')', ':', 'Arrhythmias', 'and', 'conduction', 'system', 'disease']","['disease', 'be', 'designate', 'COVID-19', ',', 'which', 'stand', 'for', '``', 'coronavirus', 'disease', '2019', ""''"", '.', 'The', 'virus', 'that', 'cause', 'COVID-19', 'be', 'designate', '``', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', ""''"", '(', 'SARS-CoV-2', ')', ';', 'previously', ',', 'it', 'wa']","[' disease is designated COVID-19, which stands for ""coronavirus disease 2019"" .', 'The virus that causes COVID-19 is designated ""severe acute respiratory syndrome coronavirus 2"" (SARS-CoV-2); previously, it was']"
127537,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Myocardial injury,/contents/coronavirus-disease-2019-covid-19-myocardial-injury?search=covid+19&source=search_result&selectedTitle=8%7E150&usage_type=default, coronavirus disease of 2019 (COVID-19) is caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2; previously referred to as 2019-nCoV). Patients with COVID-19 commonly present with signs ,"['Coronavirus', 'disease', '2019', '(', 'COVID-19', ')', ':', 'Myocardial', 'injury']","['coronavirus', 'disease', 'of', '2019', '(', 'COVID-19', ')', 'be', 'cause', 'by', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(', 'SARS-CoV-2', ';', 'previously', 'refer', 'to', 'a', '2019-nCoV', ')', '.', 'Patients', 'with', 'COVID-19', 'commonly', 'present', 'with', 'sign']","[' coronavirus disease of 2019 (COVID-19) is caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2; previously referred to as 2019-nCoV).', 'Patients with COVID-19 commonly present with signs']"
127501,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Infection control in health care and home settings,/contents/coronavirus-disease-2019-covid-19-infection-control-in-health-care-and-home-settings?search=covid+19&source=search_result&selectedTitle=9%7E150&usage_type=default," The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was referred to as 2019-nCoV. Understanding of COVID-19 is evolving. Interim guidance ","['Coronavirus', 'disease', '2019', '(', 'COVID-19', ')', ':', 'Infection', 'control', 'in', 'health', 'care', 'and', 'home', 'set']","['The', 'virus', 'that', 'cause', 'COVID-19', 'be', 'designate', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', '2', '(', 'SARS-CoV-2', ')', ';', 'previously', ',', 'it', 'wa', 'refer', 'to', 'a', '2019-nCoV', '.', 'Understanding', 'of', 'COVID-19', 'be', 'evolve', '.', 'Interim', 'guidance']","[' The virus that causes COVID-19 is designated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); previously, it was referred to as 2019-nCoV.', 'Understanding of COVID-19 is evolving.', 'Interim guidance']"
127552,medical,medical_review,,Coronavirus disease 2019 (COVID-19): Issues related to kidney disease and hypertension,/contents/coronavirus-disease-2019-covid-19-issues-related-to-kidney-disease-and-hypertension?search=covid+19&source=search_result&selectedTitle=10%7E150&usage_type=default,regardless of the COVID-19 status of any given patient. Alterations in RRT management that might be undertaken during the COVID-19 outbreak include the following: Patients with COVID-19 infection and AKI ,"['Coronavirus', 'disease', '2019', '(', 'COVID-19', ')', ':', 'Issues', 'relate', 'to', 'kidney', 'disease', 'and', 'hypertension']","['regardless', 'of', 'the', 'COVID-19', 'status', 'of', 'any', 'give', 'patient', '.', 'Alterations', 'in', 'RRT', 'management', 'that', 'might', 'be', 'undertake', 'during', 'the', 'COVID-19', 'outbreak', 'include', 'the', 'follow', ':', 'Patients', 'with', 'COVID-19', 'infection', 'and', 'AKI']","['regardless of the COVID-19 status of any given patient.', 'Alterations in RRT management that might be undertaken during the COVID-19 outbreak include the following: Patients with COVID-19 infection and AKI']"
