ID,DOI,Type,PublishedDate,Source,ScrapDate,title_words,abstract_sentences,abstract_words,abstract_length,abstract_wc,abstract_kw,abstract_kw_sum,abstract_sentiment
DOI:10.1016/j.ando.2020.04.005,10.1016/j.ando.2020.04.005,Annales d'Endocrinologie,2020-04-21 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['renin-angiotensin-aldosterone', 'system', 'covid-19', 'infection']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.jamda.2020.04.017,10.1016/j.jamda.2020.04.017,Journal of the American Medical Directors Association,2020-04-23 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['geriatrician', '', 'frontline', 'specialist', 'treatment', 'covid-19', 'patients']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.fertnstert.2020.04.025,10.1016/j.fertnstert.2020.04.025,Fertility and Sterility,2020-04-16 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['prior', 'novel', 'coronaviruses', '', 'covid-19', '', 'human', 'reproduction', '', 'known', '']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.athoracsur.2020.05.002,10.1016/j.athoracsur.2020.05.002,The Annals of Thoracic Surgery,2020-05-12 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['ramping', 'delivery', 'cardiac', 'surgery', 'covid-19', 'pandemic', '', 'guidance', 'statement', 'society', 'thoracic', 'surgeons', 'covid-19', 'task', 'force']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.jtcvs.2020.04.059,10.1016/j.jtcvs.2020.04.059,The Journal of Thoracic and Cardiovascular Surgery,2020-04-27 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['adult', 'cardiac', 'surgery', 'covid-19', 'pandemic', '', 'aggressive', 'infection', 'mitigation', 'strategies', 'necessary', 'operating', 'room', 'surgical', 'recovery']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.jpsychores.2020.110132,10.1016/j.jpsychores.2020.110132,Journal of Psychosomatic Research,2020-05-14 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['protocol', 'partially', 'nest', 'randomise', 'control', 'trial', 'evaluate', 'effectiveness', 'scleroderma', 'patient-centered', 'intervention', 'network', 'covid-19', 'home-isolation', 'activity', 'together', '', 'spin-chat', '', 'program', 'reduce', 'anxiety', 'among', 'at-risk', 'scleroderma', 'patient']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.neurol.2020.04.004,10.1016/j.neurol.2020.04.004,Revue Neurologique,2020-04-20 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['guidance', 'care', 'neuromuscular', 'patient', 'covid-19', 'pandemic', 'outbreak', 'french', 'rare', 'health', 'care', 'neuromuscular', 'diseases', 'network']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.ultrasmedbio.2020.04.026,10.1016/j.ultrasmedbio.2020.04.026,Ultrasound in Medicine & Biology,2020-05-03 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['lung', 'ultrasound', 'children', 'covid-19', '', 'preliminary', 'findings']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.jaci.2020.05.003,10.1016/j.jaci.2020.05.003,Journal of Allergy and Clinical Immunology,2020-05-11 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['longitudinal', 'hematologic', 'immunologic', 'variation', 'associate', 'progression', 'covid-19', 'patient', 'china']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.athoracsur.2020.04.007,10.1016/j.athoracsur.2020.04.007,The Annals of Thoracic Surgery,2020-04-27 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['adult', 'cardiac', 'surgery', 'covid-19', 'pandemic', '', 'aggressive', 'infection', 'mitigation', 'strategies', 'necessary', 'operating', 'room', 'surgical', 'recovery']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.thromres.2020.04.024,10.1016/j.thromres.2020.04.024,Thrombosis Research,2020-04-23 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['venous', 'arterial', 'thromboembolic', 'complication', 'covid-19', 'patient', 'admit', 'academic', 'hospital', 'milan', '', 'italy']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.idm.2020.05.001,10.1016/j.idm.2020.05.001,Infectious Disease Modelling,2020-05-12 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['early', 'transmission', 'dynamic', 'covid-19', 'southern', 'hemisphere', 'set', '', 'lima-peru', '', 'february', '29thmarch', '30th', '', '2020', '']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.ekir.2020.04.001,10.1016/j.ekir.2020.04.001,Kidney International Reports,2020-04-04 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['management', 'patients', 'dialysis', 'kidney', 'transplantation', 'sars-cov-2', '', 'covid-19', '', 'pandemic', 'brescia', '', 'italy']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.numecd.2020.04.001,10.1016/j.numecd.2020.04.001,"Nutrition, Metabolism and Cardiovascular Diseases",2020-04-08 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['close-up', 'covid-19', 'cardiovascular', 'disease']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.jchirv.2020.04.009,10.1016/j.jchirv.2020.04.009,Journal de Chirurgie Viscérale,2020-04-18 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['gestion', 'de', 'l', '', 'pidmie', 'de', 'la', 'covid-19', 'par', 'le', 'tablissements', 'public', 'de', 'sant', '', 'analyse', 'de', 'la', 'fdration', 'hospitalire', 'de', 'france']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.mmcr.2020.05.001,10.1016/j.mmcr.2020.05.001,Medical Mycology Case Reports,2020-05-11 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['invasive', 'pulmonary', 'aspergillosis', 'complicate', 'covid-19', 'icu', '-', 'case', 'report']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.gaceta.2020.04.008,10.1016/j.gaceta.2020.04.008,Gaceta Sanitaria,2020-05-04 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['las', 'estadsticas', 'sanitarias', 'la', 'invisibilidad', 'por', 'sexo', 'de', 'gnero', 'durante', 'la', 'epidemia', 'de', 'covid-19']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.medmal.2020.04.006,10.1016/j.medmal.2020.04.006,Médecine et Maladies Infectieuses,2020-04-17 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['features', 'anosmia', 'covid-19']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.jocn.2020.04.124,10.1016/j.jocn.2020.04.124,Journal of Clinical Neuroscience,2020-05-05 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['covid-19', '', 'sars', 'mers', '', 'neurological', 'perspective']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
DOI:10.1016/j.jcv.2020.104393,10.1016/j.jcv.2020.104393,Journal of Clinical Virology,2020-04-30 00:00:00,ELSEVIER,2020-05-15 10:57:38.352608,"['clinical', 'evaluation', 'immunochromatographic', 'igmigg', 'antibody', 'assay', 'chest', 'compute', 'tomography', 'diagnosis', 'covid-19']",['N/A ( Too many request )'],"['na', '', 'request', '']",4,"{'': 2, 'na': 1, 'request': 1}",{},0,0.0
